id = 92
editor = KK

### Experiment

 2.44750  0.264769  0.228628  126  0.100643  0.106690  0.02
 2.44750  0.264769  0.228628  161 -0.184393  0.122977  0.02
 2.44750  0.264769  0.228628  199  0.149295  0.105746  0.01
 2.44750  0.264769  0.228628  236 -0.232802  0.097273  0.02
 2.44750  0.264769  0.228628  270 -0.139657  0.077188  0.02
 2.44750  0.264769  0.228628  308 -0.213022  0.059252  0.01
 2.44750  0.264769  0.228628  336 -0.092435  0.083347  0.02
 2.45794  0.265476  0.443085   31 -0.010657  0.231400  0.06
 2.45794  0.265476  0.443085   52  0.066968  0.070903  0.02
 2.45794  0.265476  0.443085   91  0.036029  0.083607  0.04
 2.45794  0.265476  0.443085  122  0.147706  0.118533  0.01
 2.45794  0.265476  0.443085  159 -0.238288  0.160481  0.04
 2.45794  0.265476  0.443085  199  0.003456  0.140167  0.03
 2.45794  0.265476  0.443085  235 -0.048785  0.115993  0.03
 2.45794  0.265476  0.443085  270 -0.124987  0.088418  0.03
 2.45794  0.265476  0.443085  307 -0.220368  0.076460  0.03
 2.45794  0.265476  0.443085  330 -0.025303  0.185000  0.03
 2.43020  0.262357  1.141540   20  0.080975  0.092395  0.01
 2.43020  0.262357  1.141540   52 -0.003414  0.107349  0.03
 2.43020  0.262357  1.141540   88  0.205073  0.215600  0.05
 2.43020  0.262357  1.141540  273  0.091888  0.198600  0.08
 2.43020  0.262357  1.141540  308 -0.043835  0.113526  0.03
 2.43020  0.262357  1.141540  340 -0.086644  0.088463  0.01
 2.52890  0.318722  0.157822   19  0.069302  0.066255  0.01
 2.52890  0.318722  0.157822   50  0.101612  0.087985  0.01
 2.52890  0.318722  0.157822   88  0.156288  0.174500  0.03
 2.52890  0.318722  0.157822  240 -0.189595  0.257600  0.05
 2.52890  0.318722  0.157822  273 -0.239990  0.172100  0.07
 2.52890  0.318722  0.157822  309 -0.111603  0.080504  0.01
 2.52890  0.318722  0.157822  342  0.021982  0.071922  0.01
 2.67020  0.337185  0.240100   19  0.104895  0.034970  0.01
 2.67020  0.337185  0.240100   51  0.107516  0.042310  0.01
 2.67020  0.337185  0.240100   89  0.152690  0.065240  0.02
 2.67020  0.337185  0.240100  122  0.190129  0.081602  0.01
 2.67020  0.337185  0.240100  161  0.252082  0.139400  0.03
 2.67020  0.337185  0.240100  201 -0.246714  0.113208  0.06
 2.67020  0.337185  0.240100  238 -0.182084  0.086570  0.01
 2.67020  0.337185  0.240100  271 -0.279605  0.067526  0.02
 2.67020  0.337185  0.240100  309 -0.157532  0.042206  0.01
 2.67020  0.337185  0.240100  341 -0.080883  0.034016  0.01
 2.66546  0.349578  0.455835   20  0.035791  0.031656  0.01
 2.66546  0.349578  0.455835   51  0.128879  0.034017  0.01
 2.66546  0.349578  0.455835   90  0.180335  0.057907  0.02
 2.66546  0.349578  0.455835  126  0.185444  0.058077  0.03
 2.66546  0.349578  0.455835  162  0.247650  0.072713  0.03
 2.66546  0.349578  0.455835  202 -0.149122  0.070096  0.02
 2.66546  0.349578  0.455835  232 -0.214822  0.076468  0.03
 2.66546  0.349578  0.455835  271 -0.262611  0.057249  0.02
 2.66546  0.349578  0.455835  309 -0.182671  0.036057  0.01
 2.66546  0.349578  0.455835  340 -0.069475  0.029698  0.01
 2.46831  0.349998  1.191560   20  0.042062  0.038901  0.01
 2.46831  0.349998  1.191560   52  0.152124  0.048708  0.02
 2.46831  0.349998  1.191560   87  0.093339  0.080457  0.06
 2.46831  0.349998  1.191560  129  0.190677  0.075564  0.05
 2.46831  0.349998  1.191560  161  0.214607  0.082269  0.03
 2.46831  0.349998  1.191560  201 -0.185404  0.079274  0.03
 2.46831  0.349998  1.191560  236 -0.249836  0.085707  0.06
 2.46831  0.349998  1.191560  269 -0.187664  0.058172  0.04
 2.46831  0.349998  1.191560  308 -0.138596  0.055185  0.02
 2.46831  0.349998  1.191560  340 -0.067253  0.033793  0.01
 3.15132  0.415190  0.271405   19  0.000000  0.000000  0.00
 3.15132  0.415190  0.271405   51 -0.040639  0.259800  0.08
 3.31407  0.442331  0.506819   17 -0.016222  0.042797  0.01
 3.31407  0.442331  0.506819   52  0.132887  0.056995  0.02
 3.31407  0.442331  0.506819   89  0.265796  0.092474  0.04
 3.31407  0.442331  0.506819  124  0.269136  0.109772  0.03
 3.31407  0.442331  0.506819  155  0.074510  0.309000  0.08
 3.31407  0.442331  0.506819  207 -0.245410  0.277600  0.07
 3.31407  0.442331  0.506819  238 -0.175784  0.126486  0.05
 3.31407  0.442331  0.506819  271 -0.243182  0.100904  0.01
 3.31407  0.442331  0.506819  310 -0.231626  0.059064  0.01
 3.31407  0.442331  0.506819  342 -0.157545  0.041441  0.01
 3.31725  0.461373  1.159000   18  0.075672  0.040367  0.01
 3.31725  0.461373  1.159000   52  0.159116  0.066521  0.03
 3.31725  0.461373  1.159000   89  0.146058  0.102135  0.05
 3.31725  0.461373  1.159000  126  0.036607  0.075902  0.05
 3.31725  0.461373  1.159000  159  0.116046  0.148924  0.04
 3.31725  0.461373  1.159000  203  0.001190  0.164100  0.06
 3.31725  0.461373  1.159000  236 -0.300161  0.097243  0.06
 3.31725  0.461373  1.159000  269 -0.210656  0.088090  0.05
 3.31725  0.461373  1.159000  310 -0.252971  0.073406  0.03
 3.31725  0.461373  1.159000  342 -0.079276  0.035593  0.01
