id = 93
editor = KK


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1501.07052
inspiretex = Pisano:2015iqa
reference2 = bin averages from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p
in2polarizationvector = L
in2polarization = +1

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LL}


y1name = BTSA
y1namelong = Double Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
table=
#
#  CLAS 2015 BTSA (DSA)
#                                                 error
#   Q2       xB         -t    phi    BTSA      stat    syst
###########################################################
 2.44750  0.264769  0.228628  161  0.393615  0.141663  0.07
 2.44750  0.264769  0.228628  199  0.699147  0.114868  0.06
 2.44750  0.264769  0.228628  236  0.632896  0.107167  0.03
 2.44750  0.264769  0.228628  270  0.614621  0.086302  0.04
 2.44750  0.264769  0.228628  308  0.590045  0.066616  0.02
 2.44750  0.264769  0.228628  336  0.493240  0.097915  0.03
 2.45794  0.265476  0.443085   31  0.010707  0.310589  0.11
 2.45794  0.265476  0.443085   52  0.538750  0.080296  0.05
 2.45794  0.265476  0.443085   91  0.588771  0.094692  0.03
 2.45794  0.265476  0.443085  122  0.688937  0.131047  0.03
 2.45794  0.265476  0.443085  159  0.590977  0.180280  0.04
 2.45794  0.265476  0.443085  199  0.593163  0.160137  0.04
 2.45794  0.265476  0.443085  235  0.705603  0.126503  0.04
 2.45794  0.265476  0.443085  270  0.597583  0.098820  0.02
 2.45794  0.265476  0.443085  307  0.432520  0.089375  0.05
 2.45794  0.265476  0.443085  330  0.588783  0.272096  0.14
 2.43020  0.262357  1.141540   20  0.301154  0.108999  0.02
 2.43020  0.262357  1.141540   52  0.595465  0.122797  0.02
 2.43020  0.262357  1.141540   88  0.649445  0.257678  0.07
 2.43020  0.262357  1.141540  273  0.486455  0.226016  0.06
 2.43020  0.262357  1.141540  308  0.449072  0.131397  0.05
 2.43020  0.262357  1.141540  340  0.445125  0.100851  0.03
 2.52890  0.318722  0.157822   19  0.728062  0.072635  0.06
 2.52890  0.318722  0.157822   50  0.597663  0.097162  0.06
 2.52890  0.318722  0.157822   88  0.736049  0.190175  0.05
 2.52890  0.318722  0.157822  240  0.547711  0.286515  0.03
 2.52890  0.318722  0.157822  273  0.926896  0.185395  0.09
 2.52890  0.318722  0.157822  309  0.767369  0.087310  0.04
 2.52890  0.318722  0.157822  342  0.704874  0.078878  0.05
 2.67020  0.337185  0.240100   19  0.718280  0.037973  0.03
 2.67020  0.337185  0.240100   51  0.694564  0.046409  0.03
 2.67020  0.337185  0.240100   89  0.689342  0.071886  0.03
 2.67020  0.337185  0.240100  122  0.717708  0.087566  0.04
 2.67020  0.337185  0.240100  161  0.588003  0.153658  0.07
 2.67020  0.337185  0.240100  201  0.753470  0.121213  0.02
 2.67020  0.337185  0.240100  238  0.714647  0.093943  0.03
 2.67020  0.337185  0.240100  271  0.683766  0.074616  0.03
 2.67020  0.337185  0.240100  309  0.730303  0.046012  0.03
 2.67020  0.337185  0.240100  341  0.595404  0.038093  0.03
 2.66546  0.349578  0.455835   20  0.591564  0.035388  0.02
 2.66546  0.349578  0.455835   51  0.657700  0.038164  0.02
 2.66546  0.349578  0.455835   90  0.679846  0.063340  0.02
 2.66546  0.349578  0.455835  126  0.529974  0.062302  0.02
 2.66546  0.349578  0.455835  162  0.675531  0.076123  0.02
 2.66546  0.349578  0.455835  202  0.537613  0.075238  0.04
 2.66546  0.349578  0.455835  232  0.385921  0.085110  0.02
 2.66546  0.349578  0.455835  271  0.622644  0.064239  0.04
 2.66546  0.349578  0.455835  309  0.640575  0.040519  0.02
 2.66546  0.349578  0.455835  340  0.590850  0.033076  0.02
 2.46831  0.349998  1.191560   20  0.358977  0.042859  0.03
 2.46831  0.349998  1.191560   52  0.391535  0.055776  0.02
 2.46831  0.349998  1.191560   87  0.361191  0.080848  0.03
 2.46831  0.349998  1.191560  129  0.298952  0.081483  0.04
 2.46831  0.349998  1.191560  161  0.520090  0.082799  0.02
 2.46831  0.349998  1.191560  201  0.519463  0.082401  0.02
 2.46831  0.349998  1.191560  236  0.398591  0.088052  0.02
 2.46831  0.349998  1.191560  269  0.300125  0.062973  0.02
 2.46831  0.349998  1.191560  308  0.477488  0.062898  0.03
 2.46831  0.349998  1.191560  340  0.427582  0.037548  0.02
 3.15132  0.415190  0.271405   19  0.898505  0.206909  0.02
 3.15132  0.415190  0.271405   51  0.298316  0.285391  0.09
 3.31407  0.442331  0.506819   17  0.819335  0.045101  0.03
 3.31407  0.442331  0.506819   52  0.771044  0.061889  0.04
 3.31407  0.442331  0.506819   89  0.766741  0.099096  0.05
 3.31407  0.442331  0.506819  124  0.641359  0.115051  0.07
 3.31407  0.442331  0.506819  155  0.436690  0.305359  0.08
 3.31407  0.442331  0.506819  207  0.503640  0.311906  0.07
 3.31407  0.442331  0.506819  238  0.753409  0.137440  0.07
 3.31407  0.442331  0.506819  271  0.821147  0.107913  0.04
 3.31407  0.442331  0.506819  310  0.681888  0.064971  0.04
 3.31407  0.442331  0.506819  342  0.772114  0.044604  0.03
 3.31725  0.461373  1.159000   18  0.513872  0.041630  0.02
 3.31725  0.461373  1.159000   52  0.600751  0.071142  0.03
 3.31725  0.461373  1.159000   89  0.553552  0.095507  0.04
 3.31725  0.461373  1.159000  126  0.555379  0.076075  0.02
 3.31725  0.461373  1.159000  159  0.429441  0.150181  0.07
 3.31725  0.461373  1.159000  203  0.780589  0.158200  0.06
 3.31725  0.461373  1.159000  236  0.464895  0.089857  0.03
 3.31725  0.461373  1.159000  269  0.559566  0.077600  0.03
 3.31725  0.461373  1.159000  310  0.767437  0.082094  0.05
 3.31725  0.461373  1.159000  342  0.510235  0.036912  0.02
