id = 84
editor = KK



### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2014
reference =  private communication
reference2 = from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p
in2polarizationvector = L
in2polarization = +1

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LL}


y1name = BTSA
y1namelong = Double Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is given to us



### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2014 BTSA (DSA)
#
# Q2        xB       -t       phi    BTSA      stat_err_BTSA
###########################################################
 1.4603   0.1756   1.0816   161.8830   0.1152   0.1067
 1.4603   0.1756   1.0816   198.8630   0.4063   0.1916
 1.4603   0.1756   1.0816   235.8380   0.2399   0.2294
 1.4603   0.1756   1.0816   269.8610   0.2970   0.1407
 1.4603   0.1756   1.0816   308.0970   0.5112   0.2002
 1.4603   0.1756   1.0816   340.6940   0.3630   0.2417
 2.4683   0.3500   1.1916   19.2325   0.3590   0.0429
 2.4683   0.3500   1.1916   52.1529   0.3915   0.0558
 2.4683   0.3500   1.1916   89.1628   0.3612   0.0808
 2.4683   0.3500   1.1916   125.9660   0.2990   0.0815
 2.4683   0.3500   1.1916   161.8830   0.5201   0.0828
 2.4683   0.3500   1.1916   198.8630   0.5195   0.0824
 2.4683   0.3500   1.1916   235.8380   0.3986   0.0881
 2.4683   0.3500   1.1916   269.8610   0.3001   0.0630
 2.4683   0.3500   1.1916   308.0970   0.4775   0.0629
 2.4683   0.3500   1.1916   340.6940   0.4276   0.0375
 2.3622   0.2545   0.1378   19.2325   0.7588   0.0574
 2.3622   0.2545   0.1378   52.1529   0.6186   0.0601
 2.3622   0.2545   0.1378   89.1628   0.7630   0.0693
 2.3622   0.2545   0.1378   125.9660   0.6083   0.1071
 2.3622   0.2545   0.1378   161.8830   0.8078   0.1279
 2.3622   0.2545   0.1378   198.8630   0.8091   0.1076
 2.3622   0.2545   0.1378   235.8380   0.8448   0.0894
 2.3622   0.2545   0.1378   269.8610   0.7479   0.0751
 2.3622   0.2545   0.1378   308.0970   0.5594   0.0572
 2.3622   0.2545   0.1378   340.6940   0.6719   0.0664
 3.1513   0.4152   0.2714   19.2325   0.8985   0.2069
 3.1513   0.4152   0.2714   52.1529   0.2983   0.2854
          
 2.4475   0.2648   0.2286   19.2325   0.5457   0.1022
 2.4475   0.2648   0.2286   52.1529   0.6827   0.0657
 2.4475   0.2648   0.2286   89.1628   0.5819   0.0854
 2.4475   0.2648   0.2286   125.9660   0.5476   0.1206
 2.4475   0.2648   0.2286   161.8830   0.3936   0.1417
 2.4475   0.2648   0.2286   198.8630   0.6991   0.1149
