id = 108
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = Kin3, Table VIII

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Helicity Independent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.028



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XUU
#
#xB       Q2     -t     phi     XUU   stat systm systp
###########################################################
table =
0.371   2.360   0.325   217.5   19.1    1.5 1.  0.
0.371   2.360   0.325   232.5   21.9    1.5 1.5 0.
0.371   2.360   0.325   247.5   20.8    1.6 1.5 0.
0.371   2.360   0.325   262.5   25.6    1.9 0.1 0.3
0.371   2.360   0.325   277.5   31.5    2.1 1.2 0.
0.371   2.360   0.325   292.5   36.4    2.4 1.9 0.
0.371   2.360   0.325   307.5   40.     2.7 1.8 0.
0.371   2.360   0.325   322.5   52.6    3.4 2.1 0.
0.371   2.360   0.325   337.5   55.7    4.6 8.2 0.
0.371   2.360   0.325   352.5   59.1    5.7 0.  3.2
0.373   2.375   0.372   7.5     60.6    8.4 8.2 0.
0.373   2.375   0.372   22.5    54.8    6.3 3.3 0.
0.373   2.375   0.372   37.5    41.2    4.1 1.4 2.2
0.373   2.375   0.372   52.5    38.8    3.3 0.  1.4
0.373   2.375   0.372   67.5    29.5    2.6 0.1 1.4
0.373   2.375   0.372   82.5    23.8    2.2 0.2 0.6
0.373   2.375   0.372   97.5    20.3    1.9 1.1 0.
0.373   2.375   0.372   112.5   16.6    1.6 1.8 0.
0.373   2.375   0.372   127.5   16.5    1.5 2.6 0.
0.373   2.375   0.372   142.5   14.9    1.4 1.3 0.
0.373   2.375   0.372   157.5   14.     1.5 0.  0.9
0.373   2.375   0.372   172.5   13.7    1.7 0.7 0.
0.373   2.375   0.372   187.5   15.1    1.7 0.2 1.1
0.373   2.375   0.372   202.5   16.7    1.6 0.3 0.5
0.373   2.375   0.372   217.5   14.2    1.4 0.5 0.3
0.373   2.375   0.372   232.5   19.     1.5 0.7 0.
0.373   2.375   0.372   247.5   18.5    1.7 2.4 0.1
0.373   2.375   0.372   262.5   19.6    1.8 1.3 0.
0.373   2.375   0.372   277.5   24.2    2.  0.9 0.
0.373   2.375   0.372   292.5   31.2    2.5 1.4 0.
0.373   2.375   0.372   307.5   33.3    2.9 0.2 1.6
0.373   2.375   0.372   322.5   45.5    4.  7.6 0.
0.373   2.375   0.372   337.5   55.2    6.4 4.  0.7
0.373   2.375   0.372   352.5   55.4    8.7 1.3 3.1


