id = 114
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = KinX2, Table XIV

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XLU
y1namelong = Beam Spin Dependent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.034



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XLU
#
#xB       Q2     -t     phi     XUU   stat systm systp
###########################################################
table =
0.400   2.084   0.324   202.5   1.      3.4 0.  1.8
0.400   2.084   0.324   217.5   -1.2    3.2 1.6 0.
0.400   2.084   0.324   232.5   0.3     3.2 0.7 3.2
0.400   2.084   0.324   247.5   -6.6    3.7 1.2 1.6
0.400   2.084   0.324   262.5   -7.9    3.6 1.1 1.3
0.400   2.084   0.324   277.5   4.4     3.8 0.  3.4
0.400   2.084   0.324   292.5   -4.5    3.9 0.7 0.6
0.400   2.084   0.324   307.5   -4.1    4.8 0.2 4.7
0.400   2.084   0.324   322.5   -14.6   5.3 3.9 0.
0.400   2.084   0.324   337.5   -0.2    6.5 4.5 0.
0.400   2.084   0.324   352.5   -1.7    7.3 5.9 2.
0.401   2.091   0.371   7.5     -9.     11.9    3.2 1.1
0.401   2.091   0.371   22.5    0.9     9.2 1.1 2.7
0.401   2.091   0.371   37.5    0.4     6.2 0.  1.4
0.401   2.091   0.371   52.5    8.3     5.3 0.4 2.
0.401   2.091   0.371   67.5    5.9     4.5 1.  0.6
0.401   2.091   0.371   82.5    7.9     3.8 1.7 0.
0.401   2.091   0.371   97.5    3.3     4.  0.2 0.9
0.401   2.091   0.371   112.5   6.5     3.9 0.5 1.8
0.401   2.091   0.371   127.5   -1.5    3.6 0.  2.9
0.401   2.091   0.371   142.5   6.1     3.8 3.8 0.
0.401   2.091   0.371   157.5   -2.7    4.2 0.6 0.6
0.401   2.091   0.371   172.5   -8.4    4.5 2.  0.1
0.401   2.091   0.371   187.5   2.9     4.7 0.  4.7
0.401   2.091   0.371   202.5   3.8     4.1 1.4 0.
0.401   2.091   0.371   217.5   0.8     3.9 0.  2.6
0.401   2.091   0.371   232.5   -6.6    3.2 0.2 0.5
0.401   2.091   0.371   247.5   -3.     3.7 3.2 0.
0.401   2.091   0.371   262.5   -0.1    3.7 0.4 3.5
0.401   2.091   0.371   277.5   -3.2    3.9 1.  0.4
0.401   2.091   0.371   292.5   -7.4    4.4 0.6 2.4
0.401   2.091   0.371   307.5   -7.2    4.9 1.7 0.8
0.401   2.091   0.371   322.5   -5.8    6.2 2.7 1.
0.401   2.091   0.371   337.5   -1.     8.4 10.7    1.2
0.401   2.091   0.371   352.5   -3.8    12.5    0.  9.3

