id = 113
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = KinX3, Table XIII

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Helicity Independent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.028



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XUU
#
#xB       Q2     -t     phi     XUU   stat systm systp
###########################################################
table =
0.342   2.191   0.324   232.5   29.3    3.  0.9 0.
0.342   2.191   0.324   247.5   21.4    3.1 0.7 0.5
0.342   2.191   0.324   262.5   30.4    3.9 0.3 0.6
0.342   2.191   0.324   277.5   43.6    4.4 3.2 0.1
0.342   2.191   0.324   292.5   55.     5.6 1.2 0.9
0.342   2.191   0.324   307.5   39.5    6.2 2.9 0.5
0.342   2.191   0.324   322.5   70.1    9.9 7.6 0.
0.342   2.191   0.324   337.5   0   0   0   0
0.342   2.191   0.324   352.5   0   0   0   0
0.342   2.193   0.371   7.5     0   0   0   0
0.342   2.193   0.371   22.5    0   0   0   0
0.342   2.193   0.371   37.5    68.8    21.3    14.6    0.9
0.342   2.193   0.371   52.5    37.1    10.4    9.7 1.6
0.342   2.193   0.371   67.5    40.6    7.  0.  6.2
0.342   2.193   0.371   82.5    29.     5.  1.  2.1
0.342   2.193   0.371   97.5    27.     4.3 2.9 0.2
0.342   2.193   0.371   112.5   21.     3.5 3.1 0.
0.342   2.193   0.371   127.5   18.8    2.9 3.4 0.1
0.342   2.193   0.371   142.5   17.9    2.8 0.9 0.5
0.342   2.193   0.371   157.5   18.7    3.  0.  1.6
0.342   2.193   0.371   172.5   17.2    3.2 0.3 1.1
0.342   2.193   0.371   187.5   16.2    2.9 0.  2.2
0.342   2.193   0.371   202.5   21.3    3.  0.5 2.1
0.342   2.193   0.371   217.5   17.7    2.8 0.8 0.1
0.342   2.193   0.371   232.5   24.2    3.  1.3 0.
0.342   2.193   0.371   247.5   22.5    3.4 3.9 0.4
0.342   2.193   0.371   262.5   18.1    3.6 2.6 0.
0.342   2.193   0.371   277.5   32.8    4.5 2.5 0.
0.342   2.193   0.371   292.5   35.5    6.3 1.9 2.
0.342   2.193   0.371   307.5   43.1    8.7 0.3 4.1
0.342   2.193   0.371   322.5   49.6    15.5    10.8    3.6
0.342   2.193   0.371   337.5   0   0   0   0
0.342   2.193   0.371   352.5   0   0   0   0



