id = 110
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = Kin2, Table X

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XLU
y1namelong = Beam Spin Dependent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.034



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XLU
#
#xB       Q2     -t     phi     XUU   stat systm systp
###########################################################
table =
0.379   1.986   0.323   202.5   1.5     2.6 0.  1.4
0.379   1.986   0.323   217.5   2.3     2.6 0.8 0.3
0.379   1.986   0.323   232.5   0.      2.7 0.  3.
0.379   1.986   0.323   247.5   -8.1    3.  1.6 0.1
0.379   1.986   0.323   262.5   -7.1    3.1 0.  2.7
0.379   1.986   0.323   277.5   0.6     3.5 0.  1.3
0.379   1.986   0.323   292.5   -8.9    4.  1.5 1.6
0.379   1.986   0.323   307.5   -8.4    5.1 0.  2.8
0.379   1.986   0.323   322.5   -20.1   6.3 3.6 0.
0.379   1.986   0.323   337.5   -3.3    8.8 6.7 0.
0.379   1.986   0.323   352.5   -2.6    10.6    8.5 3.
0.381   1.999   0.371   7.5     -12.1   16. 5.2 1.4
0.381   1.999   0.371   22.5    1.1     12. 1.4 3.6
0.381   1.999   0.371   37.5    4.1     7.5 0.  4.
0.381   1.999   0.371   52.5    7.3     5.8 0.2 4.4
0.381   1.999   0.371   67.5    9.9     4.9 1.1 1.1
0.381   1.999   0.371   82.5    10.8    3.8 1.4 0.
0.381   1.999   0.371   97.5    4.7     3.5 0.3 1.4
0.381   1.999   0.371   112.5   10.5    3.2 1.2 1.5
0.381   1.999   0.371   127.5   2.1     2.9 0.  2.4
0.381   1.999   0.371   142.5   3.7     2.8 3.6 0.
0.381   1.999   0.371   157.5   0.1     3.1 1.6 0.
0.381   1.999   0.371   172.5   -7.     3.8 0.  2.6
0.381   1.999   0.371   187.5   2.5     3.7 0.  2.7
0.381   1.999   0.371   202.5   0.6     3.4 1.3 0.
0.381   1.999   0.371   217.5   0.4     3.1 0.  1.6
0.381   1.999   0.371   232.5   -4.4    2.7 0.9 1.9
0.381   1.999   0.371   247.5   0.4     3.1 2.5 0.
0.381   1.999   0.371   262.5   -2.5    3.2 0.7 2.2
0.381   1.999   0.371   277.5   -6.1    3.6 2.1 0.
0.381   1.999   0.371   292.5   -1.6    4.4 1.1 1.2
0.381   1.999   0.371   307.5   -7.1    5.4 1.9 1.6
0.381   1.999   0.371   322.5   -7.9    7.6 3.5 1.1
0.381   1.999   0.371   337.5   -1.2    10.9    15.4    1.7
0.381   1.999   0.371   352.5   -5.1    16.7    0.  13.3

