id = 50
editor = KK
# the y1 data are derived from the phi measurement
# of HALL A data from the experiment (XLU-HALLA-06)
editor2 = DM
#2015/05/06
#attribute y1error replaced by y1errorstatistic
#attributes y1errornormalization and y1errornormalizationlinear are added


### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
inspiretex = Camacho:2006qlkIN
reference2 = DFT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = e-
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e-
out2particle = p
out3particle = gamma


### Observable 

y1name = XLUw
y1namelong = weighted beam spin difference
y1unit = nb/GeV^4
y1value = column4
y1errorstatistic = column5
y1errornormalization = 0.059
# normalization  errors are added in quadrature from publication
y1errornormalizationlinear = 0.13
# normalization errors from different sources are added linearly



### x-axes

x1name = xB
x1unit = 1
x1value = 0.36

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = t
x3unit = GeV^2
x3value = column2

x4name = FTn
x4unit = 1
x4value = column3


### Data
table = 
# Q2    t  Ftn            XLUw                   err
##############################################################
1.5   -0.33   0   -0.00020492620275414138   0.0013809220910426542
1.5   -0.33   -1   0.013471438603650378   0.0016703562666919042
1.5   -0.33   1   -0.00012981399509180152   0.001955988443057811
1.5   -0.33   -2   0.0030072891047152146   0.0017588258584013035
1.5   -0.33   2   0.0016911799124575588   0.00212350912256176
1.5   -0.33   -3   0.00017643601554723047   0.0019935529542971587
1.5   -0.33   3   0.0011427686705507202   0.0020270219690408306
1.5   -0.33   -4   0.001056267542347401   0.0022004721166795126
1.5   -0.33   4   -0.00127230229015221   0.0019110116574839
1.5   -0.33   -5   0.0018171102668577102   0.001951182126335663
1.5   -0.33   5   -0.0003212638165222401   0.0019573812904085516
1.5   -0.33   -6   0.0029719724056742804   0.0019852730420977815
1.5   -0.33   6   0.002621946884687043   0.0018281727534567999
1.5   -0.33   -7   0.0037991741007255817   0.0018730307633223788
1.5   -0.33   7   0.00005207804980239557   0.0018352183137721476
1.5   -0.33   -8   0.004973441725967559   0.0015770838100688585
1.5   -0.33   8   -0.000512923907537306   0.0019912971037951204
1.5   -0.33   -9   0.0026428670804962643   0.0017570481810072474
1.5   -0.33   9   -0.0007949243470438617   0.0018816428201686441
1.5   -0.33   -10   0.0015083437139956806   0.0018521269147655807
1.5   -0.33   10   0.001418502636644555   0.0018544656129995403
1.5   -0.33   -11   0.0024189349402020466   0.001969297204811266
1.5   -0.33   11   0.001565773477514608   0.0017347437779437218
1.5   -0.33   -12   0.0029788527640274955   0.0012907421035375324
1.5   -0.28   0   -0.0015186496723883138   0.001184636614927572
1.5   -0.28   -1   0.014834698507114746   0.0016221373554345892
1.5   -0.28   1   -0.0013853144254295279   0.00182159483056007
1.5   -0.28   -2   0.0025784891690004983   0.0017407699508835148
1.5   -0.28   2   0.0009185993888852246   0.0015259626388932483
1.5   -0.28   -3   -0.0003961374551742648   0.0017059604577748713
1.5   -0.28   3   0.0009923679519331177   0.0016476496793852934
1.5   -0.28   -4   -0.0005919696487653414   0.0016830005707729745
1.5   -0.28   4   -0.0007006191068239476   0.0018319719688800948
1.5   -0.28   -5   -0.0015481798366115893   0.0016617647625560427
1.5   -0.28   5   -0.004055475140127666   0.0017071427618275837
1.5   -0.28   -6   -0.0004733340151604881   0.001573043366126593
1.5   -0.28   6   -0.0028170377110706335   0.00175409084469512
1.5   -0.28   -7   -0.0016049341385122615   0.0016371096989657235
1.5   -0.28   7   -0.0023506794555538404   0.0016910613990136266
1.5   -0.28   -8   0.0011446627715768702   0.0016608045084776772
1.5   -0.28   8   -0.000449693921976026   0.0016595391733451824
1.5   -0.28   -9   -0.00016377293326208498   0.0016870605444709644
1.5   -0.28   9   -0.0013451118426604889   0.001709926183069692
1.5   -0.28   -10   -0.0016950679850210027   0.0016698617885136744
1.5   -0.28   10   0.00006497305735521451   0.0017550063201402018
1.5   -0.28   -11   -0.0005517006140555095   0.0016986945594259833
1.5   -0.28   11   0.0022967560320832003   0.0016459378440717373
1.5   -0.28   -12   -0.0001761098042588739   0.001112814303973914
1.5   -0.23   0   0.000011648282368506961   0.0009412469647530305
1.5   -0.23   -1   0.014091874634010864   0.0014855871516077184
1.5   -0.23   1   -0.0001043711105847987   0.00148243326671643
1.5   -0.23   -2   -0.000627559681281036   0.0014076200089697577
1.5   -0.23   2   -0.0010803718396491587   0.0014692724949432543
1.5   -0.23   -3   -0.0035584615048726764   0.0014415967925693767
1.5   -0.23   3   -0.0015377837418478824   0.0013130870344553265
1.5   -0.23   -4   -0.002959852763868102   0.0014140425042525047
1.5   -0.23   4   0.00006081972163918458   0.0013098486531834459
1.5   -0.23   -5   -0.002532597689536947   0.001399616560457496
1.5   -0.23   5   0.0004525197088503106   0.0012225040503575676
1.5   -0.23   -6   0.0003101649456269668   0.0012792287662307972
1.5   -0.23   6   1.3765892566378635e-6   0.0013023821867137206
1.5   -0.23   -7   0.0005093446629920178   0.0016244592172573959
1.5   -0.23   7   -0.002125870882181466   0.0014151026404587508
1.5   -0.23   -8   0.000011645359035721143   0.0013593095178312882
1.5   -0.23   8   -0.00034237679167395667   0.0012590986255454552
1.5   -0.23   -9   -0.0007174067541672329   0.0014503549518818395
1.5   -0.23   9   -0.00014298664315284823   0.001410138919345431
1.5   -0.23   -10   -0.0007067818817532378   0.0015114228572128074
1.5   -0.23   10   -0.000016808684774612166   0.0015859935541135985
1.5   -0.23   -11   0.000960240625444048   0.001344326508595586
1.5   -0.23   11   0.0004633359645193382   0.0013219662786961362
1.5   -0.23   -12   0.0003807101034558306   0.0010529995350388444
1.5   -0.17   0   -0.000293235624135759   0.0007398070850400323
1.5   -0.17   -1   0.016930090691528902   0.00103009553581927
1.5   -0.17   1   0.0004982149532388034   0.001099125845845005
1.5   -0.17   -2   0.00007726677492868794   0.001071941149766983
1.5   -0.17   2   0.00011710573541783324   0.0010012432190757232
1.5   -0.17   -3   -0.0019127249334996476   0.0009335622598903953
1.5   -0.17   3   -0.0006286640051051183   0.0010156454668186006
1.5   -0.17   -4   -0.0003671920331270506   0.001042476812160368
1.5   -0.17   4   -0.0007371714307726935   0.000935668254325081
1.5   -0.17   -5   -0.0006231829464678856   0.0009621332201030367
1.5   -0.17   5   -0.00022805830105417156   0.0009530195133005056
1.5   -0.17   -6   -0.0004028152774883217   0.0010104898717196976
1.5   -0.17   6   -0.00010847985336399202   0.001089880695301437
1.5   -0.17   -7   0.000283719860806807   0.0010497217651409708
1.5   -0.17   7   -0.0020028322932547525   0.0009298538054096321
1.5   -0.17   -8   -0.0007569394531206951   0.0010920695026259465
1.5   -0.17   8   -0.0008483733031898676   0.0009518178787952841
1.5   -0.17   -9   0.00030764046312975387   0.0010361372006798815
1.5   -0.17   9   0.000050237322636891474   0.0010939713584342914
1.5   -0.17   -10   0.0008835698392027247   0.0010045272164710224
1.5   -0.17   10   -0.0006462543138763044   0.001017394254600369
1.5   -0.17   -11   0.0012129690196140894   0.001070829133034454
1.5   -0.17   11   -0.0008236266995392378   0.0009113109801990225
1.5   -0.17   -12   0.000050983539043013706   0.0007059429497266913
1.9   -0.33   0   0.0008440228942077562   0.0005908776295958763
