id = 112
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = KinX2, Table XII

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Helicity Independent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.028



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XUU
#
#xB Q2 -t phi XUU stat systm systp
###########################################################
table =
0.400   2.084   0.324   217.5   22.1    2.6 2.9 0.
0.400   2.084   0.324   232.5   20.8    2.6 0.  1.
0.400   2.084   0.324   247.5   28.1    2.9 4.2 0.
0.400   2.084   0.324   262.5   24.8    2.9 0.2 1.2
0.400   2.084   0.324   277.5   28.2    3.1 1.1 0.4
0.400   2.084   0.324   292.5   27. 3.  0.  3.6
0.400   2.084   0.324   307.5   39.3    3.6 1.4 0.
0.400   2.084   0.324   322.5   39.5    4.1 2.2 0.6
0.400   2.084   0.324   337.5   41.4    5.  1.2 0.9
0.400   2.084   0.324   352.5   37.4    5.5 9.8 0.
0.401   2.091   0.371   7.5     53.3    9.  0.  8.9
0.401   2.091   0.371   22.5    52. 6.9 0.3 3.4
0.401   2.091   0.371   37.5    36.9    4.8 3.8 0.
0.401   2.091   0.371   52.5    33.8    4.1 4.5 0.
0.401   2.091   0.371   67.5    31. 3.5 2.  0.
0.401   2.091   0.371   82.5    22. 3.  3.9 0.
0.401   2.091   0.371   97.5    27.4    3.2 2.7 0.
0.401   2.091   0.371   112.5   24. 3.1 0.2 1.3
0.401   2.091   0.371   127.5   19.7    3.  1.5 0.
0.401   2.091   0.371   142.5   16.2    3.2 2.6 0.
0.401   2.091   0.371   157.5   15.5    3.6 0.  2.7
0.401   2.091   0.371   172.5   15.9    3.9 1.1 0.1
0.401   2.091   0.371   187.5   17.4    4.  3.5 0.
0.401   2.091   0.371   202.5   17.2    3.4 3.  0.
0.401   2.091   0.371   217.5   22.2    3.2 0.9 0.3
0.401   2.091   0.371   232.5   17.1    2.7 0.1 1.5
0.401   2.091   0.371   247.5   22.6    3.  4.7 0.
0.401   2.091   0.371   262.5   19.5    2.9 1.6 0.4
0.401   2.091   0.371   277.5   23.7    3.1 1.  0.3
0.401   2.091   0.371   292.5   27.2    3.5 1.4 0.4
0.401   2.091   0.371   307.5   29.7    3.8 2.8 0.2
0.401   2.091   0.371   322.5   31.6    4.8 4.5 0.
0.401   2.091   0.371   337.5   33.4    6.4 0.  4.6
0.401   2.091   0.371   352.5   43.6    8.8 0.  2.9
