id = 97
editor = DM

### Experiment E145M2

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M2

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Helicity Independent Cross Section
0.126   1.11    0.26    232.76  -0.0613 0.0704  0.0217
0.126   1.11    0.26    247.84  -0.0682 0.0759  0.0317
0.126   1.11    0.26    262.92  -0.1136 0.0914  0.0421
0.126   1.11    0.26    278.02  -0.3923 0.1218  0.0587
0.126   1.11    0.26    293.06  -0.678  0.2033  0.1478
0.126   1.11    0.26    304.59  -0.2823 0.3896  0.1412
0.126   1.11    0.26    322.5   0   0   0
0.126   1.11    0.26    337.5   0   0   0
0.126   1.11    0.26    352.5   0   0   0
0.126   1.11    0.34    7.5 0   0   0
0.126   1.11    0.34    22.5    0   0   0
0.126   1.11    0.34    43.8    0   0   0
0.126   1.11    0.34    53.26   0.3173  0.1659  0.0778
0.126   1.11    0.34    66.86   -0.1677 0.1288  0.069
0.126   1.11    0.34    81.98   0.2205  0.0913  0.0458
0.126   1.11    0.34    97.07   0.1035  0.0572  0.0134
0.126   1.11    0.34    112.16  0.0046  0.0462  0.0207
0.126   1.11    0.34    127.24  0.068   0.0567  0.0223
0.126   1.11    0.34    142.31  0.0332  0.0419  0.0083
0.126   1.11    0.34    157.39  -0.0364 0.0352  0.019
0.126   1.11    0.34    172.46  0.0205  0.0402  0.0312
0.126   1.11    0.34    187.54  -0.0086 0.0464  0.0116
0.126   1.11    0.34    202.61  0.0133  0.0412  0.0186
0.126   1.11    0.34    217.69  -0.0266 0.0332  0.0181
0.126   1.11    0.34    232.76  0.0251  0.0445  0.023
0.126   1.11    0.34    247.84  0.0187  0.0527  0.013
0.126   1.11    0.34    262.93  0.0194  0.0625  0.0203
0.126   1.11    0.34    278.02  -0.2629 0.0741  0.0325
0.126   1.11    0.34    293.14  -0.1336 0.1279  0.0511
0.126   1.11    0.34    306.74  -0.1828 0.1564  0.0626
0.126   1.11    0.34    316.2   0   0   0
0.126   1.11    0.34    337.5   0   0   0
0.126   1.11    0.34    352.5   0   0   0
0.126   1.11    0.45    7.5 0   0   0
0.126   1.11    0.45    22.5    0   0   0
0.126   1.11    0.45    41.56   -0.0584 0.1025  0.0462
0.126   1.11    0.45    51.83   0.0532  0.076   0.051
0.126   1.11    0.45    66.87   0.021   0.0691  0.0166
0.126   1.11    0.45    81.97   -0.014  0.0463  0.0136
0.126   1.11    0.45    97.06   -0.0063 0.0309  0.0132
0.126   1.11    0.45    112.15  0.0045  0.0307  0.0183
0.126   1.11    0.45    127.23  -0.0048 0.0303  0.0134
0.126   1.11    0.45    142.31  0.0349  0.0268  0.0124
0.126   1.11    0.45    157.39  0.0188  0.0244  0.0028
0.126   1.11    0.45    172.46  0.0159  0.0239  0.0053
0.126   1.11    0.45    187.54  0.0596  0.0276  0.0143
0.126   1.11    0.45    202.61  -0.0175 0.0219  0.0046
0.126   1.11    0.45    217.69  0.0281  0.0223  0.0083
0.126   1.11    0.45    232.77  0.038   0.0278  0.0124
0.126   1.11    0.45    247.85  -0.0522 0.0319  0.008
0.126   1.11    0.45    262.94  -0.0297 0.0313  0.0084
0.126   1.11    0.45    278.03  0.0035  0.0381  0.0073
0.126   1.11    0.45    293.13  -0.1219 0.0606  0.0148
0.126   1.11    0.45    308.17  -0.0311 0.0933  0.0263
0.126   1.11    0.45    318.44  0   0   0
0.126   1.11    0.45    337.5   0   0   0
0.126   1.11    0.45    352.5   0   0   0
0.154   1.27    0.11    10.2    0   0   0
0.154   1.27    0.11    25.75   0   0   0
0.154   1.27    0.11    39.49   0.6136  0.584   0.2533
0.154   1.27    0.11    52.77   -0.2003 0.3362  0.1619
0.154   1.27    0.11    67.03   1.0187  0.265   0.129
0.154   1.27    0.11    82.09   0.2989  0.1773  0.0703
0.154   1.27    0.11    97.15   0.4529  0.1609  0.0457
0.154   1.27    0.11    112.2   0.2859  0.1773  0.1215
0.154   1.27    0.11    127.26  0.2137  0.1684  0.0572
0.154   1.27    0.11    142.33  0.0438  0.1338  0.0568
0.154   1.27    0.11    157.4   0.1445  0.1242  0.0216
0.154   1.27    0.11    172.46  -0.0095 0.161   0.0655
0.154   1.27    0.11    187.54  0.0071  0.1433  0.0474
0.154   1.27    0.11    202.6   -0.255  0.122   0.0575
0.154   1.27    0.11    217.67  -0.1194 0.1373  0.0852
0.154   1.27    0.11    232.74  -0.3177 0.1602  0.0832
0.154   1.27    0.11    247.8   -0.3354 0.1423  0.0435
0.154   1.27    0.11    262.85  -0.8246 0.1545  0.1129
0.154   1.27    0.11    277.91  -0.6145 0.204   0.1028
0.154   1.27    0.11    292.97  -1.0558 0.2506  0.1175
0.154   1.27    0.11    307.23  -1.1316 0.2828  0.099
0.154   1.27    0.11    320.51  -0.4972 0.453   0.3906
0.154   1.27    0.11    334.25  0   0   0
0.154   1.27    0.11    349.8   0   0   0
0.154   1.27    0.15    7.5 0   0   0
0.154   1.27    0.15    29.3    0   0   0
0.154   1.27    0.15    41.24   0   0   0
0.154   1.27    0.15    53.18   0.6562  0.2747  0.0838
0.154   1.27    0.15    66.96   0.1757  0.2049  0.0672
0.154   1.27    0.15    82.04   0.3523  0.1269  0.0675
0.154   1.27    0.15    97.11   0.3083  0.1019  0.0475
0.154   1.27    0.15    112.18  0.2897  0.0908  0.0304
0.154   1.27    0.15    127.25  -0.0083 0.1093  0.0484
0.154   1.27    0.15    142.32  -0.0247 0.0829  0.0519
0.154   1.27    0.15    157.39  0.1295  0.0711  0.0151
0.154   1.27    0.15    172.46  0.1119  0.089   0.0319
0.154   1.27    0.15    187.54  0.0298  0.0963  0.0435
0.154   1.27    0.15    202.61  -0.0671 0.0733  0.0232
0.154   1.27    0.15    217.68  -0.1124 0.0868  0.0365
0.154   1.27    0.15    232.75  -0.0644 0.0988  0.029
0.154   1.27    0.15    247.82  -0.2293 0.097   0.0291
0.154   1.27    0.15    262.89  -0.1922 0.0952  0.04
0.154   1.27    0.15    277.96  -0.3415 0.1232  0.0382
0.154   1.27    0.15    293.04  -0.7854 0.2036  0.1219
0.154   1.27    0.15    306.82  -0.7397 0.2671  0.1497
0.154   1.27    0.15    318.76  0   0   0
0.154   1.27    0.15    330.7   0   0   0
0.154   1.27    0.15    352.5   0   0   0
0.154   1.27    0.2 7.5 0   0   0
0.154   1.27    0.2 22.5    0   0   0
0.154   1.27    0.2 42.63   0   0   0
0.154   1.27    0.2 53.03   0.1342  0.2412  0.1169
0.154   1.27    0.2 66.9    0.192   0.1721  0.0589
0.154   1.27    0.2 82  0.215   0.1084  0.0632
0.154   1.27    0.2 97.09   0.102   0.0839  0.0448
0.154   1.27    0.2 112.17  0.1522  0.0751  0.0275
0.154   1.27    0.2 127.24  -0.1058 0.0842  0.0593
0.154   1.27    0.2 142.31  0.0661  0.0594  0.0133
0.154   1.27    0.2 157.39  0.1039  0.0608  0.0197
0.154   1.27    0.2 172.46  -0.0298 0.057   0.0259
0.154   1.27    0.2 187.54  -0.0932 0.0682  0.0305
0.154   1.27    0.2 202.61  -0.1267 0.0717  0.0278
0.154   1.27    0.2 217.69  -0.1734 0.0669  0.0275
0.154   1.27    0.2 232.76  -0.0696 0.0668  0.0295
0.154   1.27    0.2 247.83  -0.2586 0.0779  0.0232
0.154   1.27    0.2 262.91  -0.3202 0.0839  0.0435
0.154   1.27    0.2 278 -0.2044 0.105   0.0374
0.154   1.27    0.2 293.1   -0.18   0.1638  0.0429
0.154   1.27    0.2 306.97  -0.3764 0.2308  0.0998
0.154   1.27    0.2 317.37  0   0   0
0.154   1.27    0.2 337.5   0   0   0
0.154   1.27    0.2 352.5   0   0   0
0.154   1.27    0.26    7.5 0   0   0
0.154   1.27    0.26    22.5    0   0   0
0.154   1.27    0.26    43.01   0   0   0
0.154   1.27    0.26    52.39   0.1265  0.1481  0.0541
0.154   1.27    0.26    66.86   0.0322  0.1123  0.0434
0.154   1.27    0.26    81.97   0.1901  0.0738  0.0582
0.154   1.27    0.26    97.07   0.0602  0.0537  0.0266
0.154   1.27    0.26    112.15  0.1391  0.0523  0.0183
0.154   1.27    0.26    127.23  0.1033  0.0496  0.0195
0.154   1.27    0.26    142.31  0.052   0.0518  0.0177
0.154   1.27    0.26    157.39  0.0292  0.0344  0.0199
0.154   1.27    0.26    172.46  -0.0451 0.0409  0.0102
0.154   1.27    0.26    187.54  0.0896  0.0592  0.0225
0.154   1.27    0.26    202.61  0.0855  0.0402  0.0166
0.154   1.27    0.26    217.69  -0.0531 0.0409  0.0134
0.154   1.27    0.26    232.77  -0.0231 0.0445  0.0213
0.154   1.27    0.26    247.85  -0.0415 0.0561  0.023
0.154   1.27    0.26    262.93  -0.1626 0.0502  0.0226
0.154   1.27    0.26    278.03  -0.1809 0.0774  0.0231
0.154   1.27    0.26    293.14  -0.2784 0.1062  0.0431
0.154   1.27    0.26    307.61  -0.2108 0.1851  0.0711
0.154   1.27    0.26    316.99  0   0   0
0.154   1.27    0.26    337.5   0   0   0
0.154   1.27    0.26    352.5   0   0   0
0.154   1.27    0.34    7.5 0   0   0
0.154   1.27    0.34    22.5    0   0   0
0.154   1.27    0.34    42.82   0   0   0
0.154   1.27    0.34    51.8    -0.0464 0.0907  0.0175
0.154   1.27    0.34    66.83   0.2319  0.0744  0.0266
0.154   1.27    0.34    81.95   0.1396  0.0452  0.0251
0.154   1.27    0.34    97.05   0.0905  0.0377  0.0153
0.154   1.27    0.34    112.14  0.0765  0.0314  0.0111
0.154   1.27    0.34    127.23  0.0702  0.0384  0.0209
0.154   1.27    0.34    142.31  -0.0494 0.0254  0.0148
0.154   1.27    0.34    157.38  0.0007  0.0265  0.0108
0.154   1.27    0.34    172.46  0.0132  0.0221  0.005
0.154   1.27    0.34    187.54  0.0418  0.0294  0.0117
0.154   1.27    0.34    202.62  0.0133  0.029   0.0076
0.154   1.27    0.34    217.69  -0.045  0.0283  0.0082
0.154   1.27    0.34    232.77  -0.0862 0.0284  0.0237
0.154   1.27    0.34    247.86  -0.0674 0.041   0.0165
0.154   1.27    0.34    262.95  -0.0581 0.039   0.0265
0.154   1.27    0.34    278.05  -0.0811 0.0438  0.0208
0.154   1.27    0.34    293.17  -0.1601 0.0668  0.0287
0.154   1.27    0.34    308.2   -0.1373 0.113   0.0329
0.154   1.27    0.34    317.18  0   0   0
0.154   1.27    0.34    337.5   0   0   0
0.154   1.27    0.34    352.5   0   0   0
0.154   1.27    0.45    7.5 0   0   0
0.154   1.27    0.45    22.5    0   0   0
0.154   1.27    0.45    41.09   0.1494  0.1164  0.0406
0.154   1.27    0.45    51.65   0.0628  0.0476  0.024
0.154   1.27    0.45    66.81   0.0383  0.0399  0.015
0.154   1.27    0.45    81.93   0.0567  0.03    0.0078
0.154   1.27    0.45    97.04   -0.0074 0.0214  0.0086
0.154   1.27    0.45    112.13  -0.0014 0.0194  0.0062
0.154   1.27    0.45    127.22  -0.0006 0.0165  0.0078
0.154   1.27    0.45    142.3   0.0148  0.0219  0.0104
0.154   1.27    0.45    157.38  -0.014  0.0192  0.0093
0.154   1.27    0.45    172.46  -0.0148 0.0182  0.0069
0.154   1.27    0.45    187.54  -0.0007 0.0218  0.0093
0.154   1.27    0.45    202.62  0.0184  0.0225  0.007
0.154   1.27    0.45    217.7   -0.0104 0.019   0.0059
0.154   1.27    0.45    232.78  -0.0255 0.0201  0.0062
0.154   1.27    0.45    247.87  -0.0384 0.0266  0.0099
0.154   1.27    0.45    262.96  -0.0263 0.0222  0.0092
0.154   1.27    0.45    278.07  -0.0582 0.0236  0.0111
