id = 99
editor = DM
# data restricted to DVCS kinematics Q2> 1.5 GeV^2 and -t/Q2 < 0.25
# only data are taken where 18 bins and more are filled

### Experiment E145M2

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M2, restricted kinematics

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Helicity Independent Cross Section
0.185   1.63    0.26    306.24  -0.2284 0.0855  0.018
0.185   1.63    0.26    316.81  0   0   0
0.185   1.63    0.26    337.5   0   0   0
0.185   1.63    0.26    352.5   0   0   0
0.185   1.63    0.34    7.5 0   0   0
0.185   1.63    0.34    22.5    0   0   0
0.185   1.63    0.34    43.39   0   0   0
0.185   1.63    0.34    53.05   0.0725  0.0517  0.0105
0.185   1.63    0.34    66.88   0.0691  0.0342  0.0195
0.185   1.63    0.34    81.99   0.0411  0.0309  0.0111
0.185   1.63    0.34    97.09   0.0509  0.0239  0.0071
0.185   1.63    0.34    112.17  -0.0186 0.0185  0.0059
0.185   1.63    0.34    127.25  0.0354  0.0224  0.0062
0.185   1.63    0.34    142.32  0.0332  0.0159  0.0059
0.185   1.63    0.34    157.39  0.0095  0.0171  0.0051
0.185   1.63    0.34    172.46  0.0375  0.019   0.0082
0.185   1.63    0.34    187.54  0.0097  0.0183  0.0123
0.185   1.63    0.34    202.61  -0.0424 0.0168  0.0067
0.185   1.63    0.34    217.68  -0.0397 0.0164  0.004
0.185   1.63    0.34    232.75  -0.0104 0.0209  0.0088
0.185   1.63    0.34    247.83  -0.0352 0.0242  0.0074
0.185   1.63    0.34    262.91  -0.0412 0.0205  0.0091
0.185   1.63    0.34    278.01  -0.1186 0.0277  0.0121
0.185   1.63    0.34    293.12  -0.0622 0.0401  0.01
0.185   1.63    0.34    306.95  -0.1207 0.0525  0.0206
0.185   1.63    0.34    316.61  0   0   0
0.185   1.63    0.34    337.5   0   0   0
0.185   1.63    0.34    352.5   0   0   0
0.214   1.64    0.11    7.48    -0.0113 0.1388  0.0409
0.214   1.64    0.11    22.34   0.1744  0.1064  0.0475
0.214   1.64    0.11    37.19   -0.0076 0.0908  0.0105
0.214   1.64    0.11    52.16   0.3157  0.0938  0.0515
0.214   1.64    0.11    67.15   0.2236  0.0881  0.0369
0.214   1.64    0.11    82.16   0.2176  0.0695  0.0435
0.214   1.64    0.11    97.19   0.1923  0.058   0.0373
0.214   1.64    0.11    112.23  0.0658  0.0521  0.0188
0.214   1.64    0.11    127.27  0.1421  0.0756  0.0409
0.214   1.64    0.11    142.33  0.1201  0.0504  0.0107
0.214   1.64    0.11    157.39  0.0063  0.0441  0.0071
0.214   1.64    0.11    172.46  -0.0057 0.048   0.0164
0.214   1.64    0.11    187.54  -0.0857 0.0592  0.0134
0.214   1.64    0.11    202.61  -0.0678 0.041   0.0111
0.214   1.64    0.11    217.67  -0.0448 0.053   0.0159
0.214   1.64    0.11    232.73  -0.0624 0.0654  0.0231
0.214   1.64    0.11    247.77  -0.0765 0.0526  0.0318
0.214   1.64    0.11    262.81  -0.1284 0.0587  0.0213
0.214   1.64    0.11    277.84  -0.1167 0.0685  0.0249
0.214   1.64    0.11    292.85  -0.1028 0.0935  0.0592
0.214   1.64    0.11    307.84  -0.5196 0.1016  0.0778
0.214   1.64    0.11    322.81  -0.2769 0.0999  0.0327
0.214   1.64    0.11    337.66  -0.4225 0.1152  0.0873
0.214   1.64    0.11    352.52  -0.0413 0.1355  0.0321
0.214   1.64    0.15    7.71    -0.068  0.1244  0.0834
0.214   1.64    0.15    22.63   0.2299  0.0879  0.0332
0.214   1.64    0.15    37.13   0.2317  0.0667  0.0307
0.214   1.64    0.15    52.04   0.2038  0.0625  0.0541
0.214   1.64    0.15    67.07   0.1397  0.0641  0.0224
0.214   1.64    0.15    82.1    0.2186  0.0591  0.0358
0.214   1.64    0.15    97.15   0.0637  0.0427  0.011
0.214   1.64    0.15    112.2   0.0714  0.0366  0.0195
0.214   1.64    0.15    127.26  0.0876  0.0382  0.0148
0.214   1.64    0.15    142.32  0.0062  0.0356  0.0176
0.214   1.64    0.15    157.39  0.0041  0.0329  0.0127
0.214   1.64    0.15    172.46  0.0095  0.0281  0.009
0.214   1.64    0.15    187.54  0.0008  0.0336  0.0111
0.214   1.64    0.15    202.61  -0.0465 0.0283  0.0082
0.214   1.64    0.15    217.68  -0.0201 0.0277  0.0122
0.214   1.64    0.15    232.74  -0.0667 0.0407  0.0143
0.214   1.64    0.15    247.8   -0.0144 0.04    0.0161
0.214   1.64    0.15    262.85  -0.0871 0.0386  0.0355
0.214   1.64    0.15    277.9   -0.1791 0.0491  0.0282
0.214   1.64    0.15    292.93  -0.1057 0.0699  0.0297
0.214   1.64    0.15    307.96  -0.1784 0.0724  0.0338
0.214   1.64    0.15    322.87  -0.2416 0.0699  0.0239
0.214   1.64    0.15    337.37  -0.2574 0.086   0.0441
0.214   1.64    0.15    352.29  -0.0927 0.1241  0.047
0.214   1.64    0.2 8.26    -0.1385 0.2007  0.1191
0.214   1.64    0.2 23.48   0.185   0.1113  0.0582
0.214   1.64    0.2 37.27   0.1832  0.0626  0.0136
0.214   1.64    0.2 51.94   0.0916  0.0528  0.0144
0.214   1.64    0.2 66.99   -0.0161 0.0501  0.0164
0.214   1.64    0.2 82.05   0.0949  0.0442  0.0231
0.214   1.64    0.2 97.12   0.0135  0.0321  0.0133
0.214   1.64    0.2 112.18  0.0738  0.0295  0.016
