id = 104
0.185   1.63    0.26    232.75  -0.0708599  0.128003    0.0860939
0.185   1.63    0.26    247.82  -0.01094    0.134122    0.0142045
0.185   1.63    0.26    262.9   -0.24023    0.0998767   0.0381799
0.185   1.63    0.26    277.99  -0.23995    0.0922923   0.0536998
0.185   1.63    0.26    293.1   -0.118372   0.0841594   0.0272256
0.185   1.63    0.26    306.24  -0.2025     0.0768481   0.0219081
0.185   1.63    0.26    316.81  0   0   0
0.185   1.63    0.26    337.5   0   0   0
0.185   1.63    0.26    352.5   0   0   0
0.185   1.63    0.34    7.5 0   0   0
0.185   1.63    0.34    22.5    0   0   0
0.185   1.63    0.34    43.39   0   0   0
0.185   1.63    0.34    53.05   0.0943642   0.0674936   0.0158461
0.185   1.63    0.34    66.88   0.185803    0.0930256   0.0538206
0.185   1.63    0.34    81.99   0.133963    0.101326    0.0372919
0.185   1.63    0.34    97.09   0.230839    0.110315    0.0372555
0.185   1.63    0.34    112.17  -0.134102   0.134178    0.0435594
0.185   1.63    0.34    127.25  0.241473    0.155742    0.0456296
0.185   1.63    0.34    142.32  0.375566    0.188153    0.0769189
0.185   1.63    0.34    157.39  0.0805768   0.145358    0.0447374
0.185   1.63    0.34    172.46  0.3125      0.163398    0.0808592
0.185   1.63    0.34    187.54  0.103966    0.196852    0.132701
0.185   1.63    0.34    202.61  -0.443051   0.186655    0.0841894
0.185   1.63    0.34    217.68  -0.341065   0.146341    0.0447824
0.185   1.63    0.34    232.75  -0.074659   0.150316    0.0636045
0.185   1.63    0.34    247.83  -0.209649   0.14626     0.0467144
0.185   1.63    0.34    262.91  -0.249697   0.126817    0.0595829
0.185   1.63    0.34    278.01  -0.385817   0.0945074   0.052022
0.185   1.63    0.34    293.12  -0.136673   0.0886647   0.0257493
0.185   1.63    0.34    306.95  -0.187918   0.0827089   0.0367461
0.185   1.63    0.34    316.61  0   0   0
0.185   1.63    0.34    337.5   0   0   0
0.185   1.63    0.34    352.5   0   0   0
0.214   1.64    0.11    7.48    -0.00557777 0.0685135   0.0201918
0.214   1.64    0.11    22.34   0.0973866   0.0596033   0.0276196
0.214   1.64    0.11    37.19   -0.00535475 0.0639758   0.007409
0.214   1.64    0.11    52.16   0.267769    0.0814486   0.0478028
0.214   1.64    0.11    67.15   0.314885    0.128087    0.0578245
0.214   1.64    0.11    82.16   0.364795    0.121546    0.0798788
0.214   1.64    0.11    97.19   0.336955    0.105397    0.0696768
0.214   1.64    0.11    112.23  0.145833    0.116292    0.0447378
0.214   1.64    0.11    127.27  0.260256    0.14159 0.0817343
0.214   1.64    0.11    142.33  0.354801    0.155028    0.0425677
0.214   1.64    0.11    157.39  0.0207033   0.144943    0.0234721
0.214   1.64    0.11    172.46  -0.0234858  0.197811    0.0676028
0.214   1.64    0.11    187.54  -0.290607   0.206357    0.0692281
0.214   1.64    0.11    202.61  -0.268302   0.166055    0.0501545
0.214   1.64    0.11    217.67  -0.112648   0.133832    0.0407534
0.214   1.64    0.11    232.73  -0.146513   0.154648    0.060589
0.214   1.64    0.11    247.77  -0.168539   0.116979    0.0742712
0.214   1.64    0.11    262.81  -0.215871   0.100221    0.039254
