id = 133
editor = DM

### Experiment

collaboration = HALLA
experiment = 
process = ep2epgamma
exptype = fixed target
year = 2017
reference = arXiv:1703.09442

### Scattering Process

frame = Trento

in1energy =   5.55
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Spin Sum Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errornormalization = 0.037
# normalization  errors are added in quadrature from publication
y1errornormalizationlinear = 0.085
# normalization errors from different sources are added linearly


### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = t
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# HALL A 2017 XUU
#
#xB       Q2     t     phi     XUU   stat
###########################################################
table = 
0.357 1.98 -0.182 7.5 92.4 4.8
0.357 1.98 -0.182 22.5 92.8 4.7
0.357 1.98 -0.182 37.5 83.1 4.3
0.357 1.98 -0.182 52.5 75.7 4.1
0.357 1.98 -0.182 67.5 76.7 4.1
0.357 1.98 -0.182 82.5 67.6 3.8
0.357 1.98 -0.182 97.5 65.4 3.6
0.357 1.98 -0.182 112.5 58.8 3.4
0.357 1.98 -0.182 127.5 44.1 3.0
0.357 1.98 -0.182 142.5 42.6 2.9
0.357 1.98 -0.182 157.5 42.1 2.8
0.357 1.98 -0.182 172.5 43.1 2.8
0.357 1.98 -0.182 187.5 39.5 2.8
0.357 1.98 -0.182 202.5 43.6 2.9
0.357 1.98 -0.182 217.5 50.1 3.1
0.357 1.98 -0.182 232.5 47.1 3.1
0.357 1.98 -0.182 247.5 58.8 3.5
0.357 1.98 -0.182 262.5 63.7 3.6
0.357 1.98 -0.182 277.5 67 3.8
0.357 1.98 -0.182 292.5 73.6 4.1
0.357 1.98 -0.182 307.5 84.1 4.3
0.357 1.98 -0.182 322.5 86.4 4.5
0.357 1.98 -0.182 337.5 96.6 4.7
0.357 1.98 -0.182 352.5 97.5 4.8
0.356 1.98 -0.242 7.5 95.8 5.4
0.356 1.98 -0.242 22.5 98.3 5.2
0.356 1.98 -0.242 37.5 81 4.6
0.356 1.98 -0.242 52.5 71.3 4.2
0.356 1.98 -0.242 67.5 63 4.0
0.356 1.98 -0.242 82.5 51.7 3.6
0.356 1.98 -0.242 97.5 47.9 3.4
0.356 1.98 -0.242 112.5 41.4 3.2
0.356 1.98 -0.242 127.5 38.1 3.1
0.356 1.98 -0.242 142.5 35.7 2.9
0.356 1.98 -0.242 157.5 33.6 3.0
0.356 1.98 -0.242 172.5 35.5 3.0
0.356 1.98 -0.242 187.5 31.1 2.9
0.356 1.98 -0.242 202.5 32.6 3.0
0.356 1.98 -0.242 217.5 39.8 3.1
0.356 1.98 -0.242 232.5 45.7 3.3
0.356 1.98 -0.242 247.5 40.7 3.3
0.356 1.98 -0.242 262.5 48.4 3.7
0.356 1.98 -0.242 277.5 56.7 3.9
0.356 1.98 -0.242 292.5 61.4 4.2
0.356 1.98 -0.242 307.5 71.5 4.5
0.356 1.98 -0.242 322.5 86.1 4.9
0.356 1.98 -0.242 337.5 97.3 5.1
0.356 1.98 -0.242 352.5 98.7 5.3
0.356 1.98 -0.302 7.5 107.5 6.2
0.356 1.98 -0.302 22.5 93.8 5.7
0.356 1.98 -0.302 37.5 73.7 4.9
0.356 1.98 -0.302 52.5 61.5 4.3
0.356 1.98 -0.302 67.5 43.3 3.7
0.356 1.98 -0.302 82.5 47.1 3.6
0.356 1.98 -0.302 97.5 40.9 3.4
0.356 1.98 -0.302 112.5 36.6 3.2
0.356 1.98 -0.302 127.5 26.4 2.9
0.356 1.98 -0.302 142.5 25.9 3.0
0.356 1.98 -0.302 157.5 22.9 3.0
0.356 1.98 -0.302 172.5 32 3.3
0.356 1.98 -0.302 187.5 26 3.1
0.356 1.98 -0.302 202.5 30.7 3.2
0.356 1.98 -0.302 217.5 19.4 2.8
0.356 1.98 -0.302 232.5 28.4 3.1
0.356 1.98 -0.302 247.5 38.8 3.4
0.356 1.98 -0.302 262.5 38.8 3.5
0.356 1.98 -0.302 277.5 45.2 3.8
0.356 1.98 -0.302 292.5 50.4 4.2
0.356 1.98 -0.302 307.5 65.9 4.5
0.356 1.98 -0.302 322.5 72.2 5.0
0.356 1.98 -0.302 337.5 85.8 5.5
0.356 1.98 -0.302 352.5 101.5 6.2
0.358 1.99 -0.363 7.5 98.1 7.0
0.358 1.99 -0.363 22.5 80.6 6.1
0.358 1.99 -0.363 37.5 61.2 4.9
0.358 1.99 -0.363 52.5 52.7 4.1
0.358 1.99 -0.363 67.5 44.5 3.7
0.358 1.99 -0.363 82.5 35 3.4
0.358 1.99 -0.363 97.5 30.7 3.1
0.358 1.99 -0.363 112.5 30.3 3.1
0.358 1.99 -0.363 127.5 24.2 3
0.358 1.99 -0.363 142.5 22.5 3.1
0.358 1.99 -0.363 157.5 20 3.1
0.358 1.99 -0.363 172.5 22 3.4
0.358 1.99 -0.363 187.5 21.6 3.3
0.358 1.99 -0.363 202.5 21.6 3.2
0.358 1.99 -0.363 217.5 24.2 3.2
0.358 1.99 -0.363 232.5 22.4 3.0
0.358 1.99 -0.363 247.5 33 3.3
0.358 1.99 -0.363 262.5 30.2 3.5
0.358 1.99 -0.363 277.5 40.1 3.8
0.358 1.99 -0.363 292.5 47.3 4.1
0.358 1.99 -0.363 307.5 50.5 4.4
0.358 1.99 -0.363 322.5 71.3 5.1
0.358 1.99 -0.363 337.5 92.8 6.1
0.358 1.99 -0.363 352.5 106 7.0
