id = 100
editor = DM
# data restricted to DVCS kinematics Q2> 1.5 GeV^2 and -t/Q2 < 0.25
# only data are taken where 18 bins and more are filled

### Experiment E145M1

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M1, restricted kinematics

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Helicity Independent Cross Section
0.185   1.63    0.26    316.81  0   0   0
0.185   1.63    0.26    337.5   0   0   0
0.185   1.63    0.26    352.5   0   0   0
0.185   1.63    0.34    7.5 0   0   0
0.185   1.63    0.34    22.5    0   0   0
0.185   1.63    0.34    43.39   0   0   0
0.185   1.63    0.34    53.05   0.7683  0.0425  0.0653
0.185   1.63    0.34    66.88   0.3719  0.0281  0.0243
0.185   1.63    0.34    81.99   0.3068  0.0254  0.0207
0.185   1.63    0.34    97.09   0.2205  0.0196  0.0179
0.185   1.63    0.34    112.17  0.1387  0.0151  0.0097
0.185   1.63    0.34    127.25  0.1466  0.0183  0.0104
0.185   1.63    0.34    142.32  0.0884  0.013   0.009
0.185   1.63    0.34    157.39  0.1179  0.0141  0.0167
0.185   1.63    0.34    172.46  0.12    0.0155  0.0166
0.185   1.63    0.34    187.54  0.0933  0.015   0.0136
0.185   1.63    0.34    202.61  0.0957  0.0137  0.0101
0.185   1.63    0.34    217.68  0.1164  0.0135  0.0098
0.185   1.63    0.34    232.75  0.1393  0.0171  0.0138
0.185   1.63    0.34    247.83  0.1679  0.0199  0.0124
0.185   1.63    0.34    262.91  0.165   0.0168  0.0149
0.185   1.63    0.34    278.01  0.3074  0.0227  0.0271
0.185   1.63    0.34    293.12  0.4551  0.0329  0.0447
0.185   1.63    0.34    306.95  0.6423  0.0432  0.0613
0.185   1.63    0.34    316.61  0   0   0
0.185   1.63    0.34    337.5   0   0   0
0.185   1.63    0.34    352.5   0   0   0
0.214   1.64    0.11    7.48    2.0259  0.1136  0.1318
0.214   1.64    0.11    22.34   1.7908  0.0871  0.1416
0.214   1.64    0.11    37.19   1.4193  0.0742  0.1069
0.214   1.64    0.11    52.16   1.179   0.0768  0.0855
0.214   1.64    0.11    67.15   0.7101  0.0718  0.0572
0.214   1.64    0.11    82.16   0.5965  0.0566  0.0533
0.214   1.64    0.11    97.19   0.5707  0.0473  0.0409
0.214   1.64    0.11    112.23  0.4512  0.0427  0.0504
0.214   1.64    0.11    127.27  0.546   0.0621  0.0686
0.214   1.64    0.11    142.33  0.3385  0.0412  0.0272
0.214   1.64    0.11    157.39  0.3043  0.036   0.0376
0.214   1.64    0.11    172.46  0.2427  0.0391  0.0207
0.214   1.64    0.11    187.54  0.2949  0.0485  0.053
0.214   1.64    0.11    202.61  0.2527  0.0333  0.0228
0.214   1.64    0.11    217.67  0.3977  0.0434  0.0279
0.214   1.64    0.11    232.73  0.4259  0.0533  0.0785
0.214   1.64    0.11    247.77  0.4539  0.043   0.0664
0.214   1.64    0.11    262.81  0.5948  0.0481  0.0443
0.214   1.64    0.11    277.84  0.6068  0.0559  0.0551
0.214   1.64    0.11    292.85  0.8352  0.0766  0.059
0.214   1.64    0.11    307.84  1.3076  0.0831  0.159
0.214   1.64    0.11    322.81  1.6096  0.0818  0.099
0.214   1.64    0.11    337.66  2.0262  0.0943  0.139
0.214   1.64    0.11    352.52  1.961   0.111   0.1305
0.214   1.64    0.15    7.71    1.9968  0.1019  0.1324
0.214   1.64    0.15    22.63   1.6764  0.0718  0.1573
0.214   1.64    0.15    37.13   1.2105  0.0545  0.0807
