id = 142
editor = MC
#Feb. 2020

###Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2018
#reference =  doi:10.1038/s41567-019-0774-3
inspiretex = Georges:2018kyi
reference2 = Table 1.1


### Scattering Process

frame = Trento

in1particle = e-
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e-
out2particle = p
out3particle = gamma


### Observable 
y1name = XLU
y1namelong = Beam Spin Difference Cross Section
y1unit = nb/GeV^4
y1value = column6
y1errorstatistic = column7
#y1errorsystematicplus = column6
#y1errorsystematicminus = column7


### x-axes

x1name = in1energy
x1unit = GeV
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = Q2
x3unit = GeV^2
x3value = column3

x4name = t
x4unit = GeV^2
x4value = column4

x5name = phi
x5unit = deg
x5value = column5


###Data
#E      xB	    Q2	        t	         phi	    XUU	         errstat
###########################################################################
7.383	0.365	3.18		-0.3849		352.5			-0.00337	0.0027
7.383	0.365	3.18		-0.4709		7.5			0.006224	0.0062
7.383	0.365	3.18		-0.4709		22.5			0.004903	0.0038
7.383	0.365	3.18		-0.4709		37.5			0.003147	0.0021
7.383	0.365	3.18		-0.4709		52.5			0.006032	0.0015
7.383	0.365	3.18		-0.4709		67.5			0.003604	0.0012
7.383	0.365	3.18		-0.4709		82.5			0.003158	0.001
7.383	0.365	3.18		-0.4709		97.5			0.002976	0.0009
7.383	0.365	3.18		-0.4709		112.5			0.002392	0.00078
7.383	0.365	3.18		-0.4709		127.5			0.00154	0.00071
7.383	0.365	3.18		-0.4709		142.5			0.001267	0.0007
7.383	0.365	3.18		-0.4709		157.5			0.0002594	0.00072
7.383	0.365	3.18		-0.4709		172.5			0.0006903	0.00083
7.383	0.365	3.18		-0.4709		187.5			-0.000246	0.00077
7.383	0.365	3.18		-0.4709		202.5			-0.00114	0.0008
7.383	0.365	3.18		-0.4709		217.5			-0.001098	0.00077
7.383	0.365	3.18		-0.4709		232.5			-0.001431	0.00074
7.383	0.365	3.18		-0.4709		247.5			-0.002435	0.0008
7.383	0.365	3.18		-0.4709		262.5			-0.001657	0.0009
7.383	0.365	3.18		-0.4709		277.5			-0.004682	0.0011
7.383	0.365	3.18		-0.4709		292.5			-0.004773	0.0013
7.383	0.365	3.18		-0.4709		307.5			-0.004995	0.0016
7.383	0.365	3.18		-0.4709		322.5			-0.001836	0.002
7.383	0.365	3.18		-0.4709		337.5			-0.005144	0.0034
7.383	0.365	3.18		-0.4709		352.5			0.002907	0.0056
7.383	0.364	3.18		-0.5858		7.5			-0.01009	0.026
7.383	0.364	3.18		-0.5858		22.5			0.004382	0.0097
7.383	0.364	3.18		-0.5858		37.5			0.005506	0.0025
7.383	0.364	3.18		-0.5858		52.5			0.002224	0.0013
7.383	0.364	3.18		-0.5858		67.5			0.003253	0.00097
7.383	0.364	3.18		-0.5858		82.5			0.001577	0.00084
7.383	0.364	3.18		-0.5858		97.5			0.0003562	0.00071
7.383	0.364	3.18		-0.5858		112.5			0.0008768	0.00058
7.383	0.364	3.18		-0.5858		127.5			0.0006813	0.00049
7.383	0.364	3.18		-0.5858		142.5			0.001158	0.00054
7.383	0.364	3.18		-0.5858		157.5			0.0009459	0.00073
7.383	0.364	3.18		-0.5858		172.5			0.0004705	0.00087
7.383	0.364	3.18		-0.5858		187.5			-0.0002343	0.00093
7.383	0.364	3.18		-0.5858		202.5			-0.001475	0.00077
7.383	0.364	3.18		-0.5858		217.5			-0.001114	0.00059
7.383	0.364	3.18		-0.5858		232.5			-0.0003196	0.00056
7.383	0.364	3.18		-0.5858		247.5			-0.001751	0.00058
7.383	0.364	3.18		-0.5858		262.5			-0.0033	0.00076
7.383	0.364	3.18		-0.5858		277.5			-0.002589	0.00091
7.383	0.364	3.18		-0.5858		292.5			-0.003035	0.0011
7.383	0.364	3.18		-0.5858		307.5			-0.004004	0.0016
7.383	0.364	3.18		-0.5858		322.5			-0.004001	0.0027
7.383	0.364	3.18		-0.5858		337.5			-0.009004	0.0088
7.383	0.364	3.18		-0.5858		352.5			-0.001087	0.032
8.521	0.367	3.65		-0.2046		7.5			4.666E-05	0.0008
8.521	0.367	3.65		-0.2046		22.5			0.001999	0.0009
8.521	0.367	3.65		-0.2046		37.5			0.001209	0.00094
8.521	0.367	3.65		-0.2046		52.5			0.002505	0.00093
8.521	0.367	3.65		-0.2046		67.5			0.005241	0.00093
8.521	0.367	3.65		-0.2046		82.5			0.004468	0.00088
8.521	0.367	3.65		-0.2046		97.5			0.005037	0.00087
8.521	0.367	3.65		-0.2046		112.5			0.003657	0.00083
