id = 6
editor = KK
editor1 = DM
# Feb. 2010
# modified naming scheme


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2007
reference =  arXiv:0711.4805
inspiretex = Girod:2007aa
reference2 = private table


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.77
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is knonw, 
# according to private communication (DM) the systematic one can be neglected



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2007 ALU
#
# xB     Q2     -t     phi     ALU     stat
############################################
0.3215 2.2170 0.1719 165.2140 -0.0535 0.9402
0.3215 2.2170 0.1719 0.0000 0.0000 0.0000
0.3215 2.2170 0.1719 229.9826 -0.3090 0.3446
0.3215 2.2170 0.1719 257.9601 -0.2524 0.1358
0.3215 2.2170 0.1719 286.5947 -0.3014 0.1169
0.3215 2.2170 0.1719 317.1111 -0.1880 0.0673
0.3215 2.2170 0.1719 344.0522 -0.1868 0.0687
0.3213 2.5078 0.1743 15.5290 -0.0364 0.0601
0.3213 2.5078 0.1743 43.7151 0.1503 0.0601
0.3213 2.5078 0.1743 72.5063 0.1787 0.0853
0.3213 2.5078 0.1743 105.9772 0.0991 0.1288
0.3213 2.5078 0.1743 129.1182 0.2981 0.1942
0.3213 2.5078 0.1743 163.4146 0.1477 0.3972
0.3213 2.5078 0.1743 200.5967 0.2523 0.2561
0.3213 2.5078 0.1743 228.5333 -0.3794 0.1911
0.3213 2.5078 0.1743 255.1149 -0.2888 0.1108
0.3213 2.5078 0.1743 285.9319 -0.2818 0.0842
0.3213 2.5078 0.1743 317.3666 -0.0474 0.0612
0.3213 2.5078 0.1743 344.5342 -0.1131 0.0563
0.3211 2.7865 0.1753 15.2422 0.0526 0.0619
0.3211 2.7865 0.1753 43.6728 0.1538 0.0640
0.3211 2.7865 0.1753 73.6568 0.2294 0.1050
0.3211 2.7865 0.1753 104.5124 0.6259 0.2881
0.3211 2.7865 0.1753 128.4396 0.0789 0.1182
0.3211 2.7865 0.1753 166.5012 -0.2206 0.2408
0.3211 2.7865 0.1753 198.9856 -0.0324 0.1889
0.3211 2.7865 0.1753 225.1458 -0.1518 0.1131
0.3211 2.7865 0.1753 256.4933 -0.6124 0.2305
0.3211 2.7865 0.1753 286.6018 -0.2756 0.0931
0.3211 2.7865 0.1753 317.3367 -0.0330 0.0661
0.3211 2.7865 0.1753 343.9652 -0.0034 0.0628
0.1341 1.1678 0.2840 0.0000 0.0000 0.0000
0.1341 1.1678 0.2840 50.7084 0.1317 0.0427
0.1341 1.1678 0.2840 75.5995 0.1801 0.0327
0.1341 1.1678 0.2840 103.7323 0.1290 0.0334
0.1341 1.1678 0.2840 135.8418 0.1260 0.0393
0.1341 1.1678 0.2840 164.5005 0.0326 0.0385
0.1341 1.1678 0.2840 197.0714 -0.0831 0.0406
0.1341 1.1678 0.2840 224.6123 -0.0492 0.0385
0.1341 1.1678 0.2840 256.3920 -0.1851 0.0343
0.1341 1.1678 0.2840 284.2670 -0.1697 0.0314
0.1341 1.1678 0.2840 308.2696 -0.1594 0.0496
0.1341 1.1678 0.2840 339.6170 1.2356 0.2497
0.1764 1.3680 0.2798 23.1304 0.0800 0.0815
0.1764 1.3680 0.2798 45.5147 0.1959 0.0254
0.1764 1.3680 0.2798 74.4696 0.2855 0.0340
0.1764 1.3680 0.2798 104.1682 0.2451 0.0379
0.1764 1.3680 0.2798 133.9783 0.2598 0.0565
0.1764 1.3680 0.2798 164.2999 0.1034 0.0574
0.1764 1.3680 0.2798 197.3403 -0.0947 0.0663
