id = 33
editor = KK
editor2 = DM
# Feb. 2010
# modified naming scheme
# combining data files 
# sofar they have not been confronted with the original ones
editor3 = DM
# 03/30/2012 adding systematic error


### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
inspiretex = Camacho:2006qlkIN
reference2 = private tables


### Scattering Process

frame = Trento

in1particle = e-
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e-
out2particle = p
out3particle = gamma


### Observable 

y1name = XLU
y1namelong = Beam Helicity Dependent Cross Section
# or Beam Spin Difference 
y1unit = nbarn/GeV^4
y1value = column5
y1errorstatistic = column6
# systematic error is taken from publication
# 5.6% normalization and 2% polarization uncertainties are added in quadrature
# resulting in 
y1errornormalization = 0.059464275
# and than column7 is not used:
# y1errorsystematic = column7

0.36 -0.28 1.5 262.5 -0.0189348 0.00565675 -0.0011259441540669058
0.36 -0.28 1.5 277.5 -0.0160862 0.00575397 -0.0009565542203324597
0.36 -0.28 1.5 292.5 -0.0194856 0.00565868 -0.0011586970767309978
0.36 -0.28 1.5 307.5 -0.0176214 0.00614813 -0.0010478437752959931
0.36 -0.28 1.5 322.5 -0.0326671 0.00798623 -0.0019425254175021132
0.36 -0.28 1.5 337.5 -0.0103485 0.0115053 -0.0006153660497265022
0.36 -0.28 1.5 352.5 0.0088522 0.0133517 0.0005263896550600515
0.36 -0.33 1.5 7.5 0.00489485 0.0181097 0.00029106870643124793
0.36 -0.33 1.5 22.5 0.0106712 0.0148405 0.000634555171265541
0.36 -0.33 1.5 37.5 0.0201499 0.00953873 0.0011981991946063725
0.36 -0.33 1.5 52.5 0.0292786 0.00712509 0.0017410307217009583
0.36 -0.33 1.5 67.5 0.0191755 0.00655019 0.0011402572050568242
0.36 -0.33 1.5 82.5 0.0179799 0.00675601 0.001069161717879648
0.36 -0.33 1.5 97.5 0.000898717 0.00637714 0.00005344155482553538
0.36 -0.33 1.5 112.5 0.0166982 0.00550553 0.0009929463566258955
0.36 -0.33 1.5 127.5 0.0074749 0.00494624 0.00044448950911732437
0.36 -0.33 1.5 142.5 0.00359012 0.00465836 0.00021348388292449246
0.36 -0.33 1.5 157.5 0.00310371 0.00515451 0.00018455986492695966
0.36 -0.33 1.5 172.5 0.0122853 0.00519067 0.0007305364575257282
0.36 -0.33 1.5 187.5 -0.00941195 0.00530755 -0.0005596747829852976
0.36 -0.33 1.5 202.5 -0.00334413 0.00492873 -0.00019885626591988092
0.36 -0.33 1.5 217.5 -0.00331686 0.00476934 -0.00019723467514092344
0.36 -0.33 1.5 232.5 -0.0093369 0.00482123 -0.0005552119891473527
0.36 -0.33 1.5 247.5 -0.0125141 0.00548134 -0.000744141883643274
0.36 -0.33 1.5 262.5 -0.0176343 0.0061798 -0.0010486108644433547
0.36 -0.33 1.5 277.5 -0.0257705 0.0063581 -0.001532424098611086
0.36 -0.33 1.5 292.5 -0.0132747 0.00624329 -0.0007893704112001159
0.36 -0.33 1.5 307.5 -0.0150096 0.00680864 -0.0008925349818790073
0.36 -0.33 1.5 322.5 -0.0152803 0.00948116 -0.0009086319611186039
0.36 -0.33 1.5 337.5 -0.0294125 0.0148131 -0.0017489929881220221
0.36 -0.33 1.5 352.5 0.0188574 0.0186047 0.001121341619182736
0.36 -0.17 1.9 7.5 -0.00166911 0.00273643 -0.00009925241602734715
0.36 -0.17 1.9 22.5 0.00609142 0.00270165 0.0003622218739551636
0.36 -0.17 1.9 37.5 0.00662925 0.00254166 0.0003942035449726448
0.36 -0.17 1.9 52.5 0.00989928 0.00244061 0.0005886535081158205
0.36 -0.17 1.9 67.5 0.0138155 0.00244281 0.0008215286911143153
0.36 -0.17 1.9 82.5 0.0175168 0.0023977 0.001041623812132115
0.36 -0.17 1.9 97.5 0.0135058 0.00235923 0.0008031126051501371
0.36 -0.17 1.9 112.5 0.00844817 0.00232972 0.0005023643040361351
0.36 -0.17 1.9 127.5 0.00975996 0.00222745 0.0005803689453243149
0.36 -0.17 1.9 142.5 0.0050582 0.00210065 0.00030078219575074583
0.36 -0.17 1.9 157.5 0.00643094 0.00206647 0.00038241118459952185
0.36 -0.17 1.9 172.5 0.00329134 0.00204548 0.00019571714684319714
0.36 -0.17 1.9 187.5 -0.00181187 0.0020556 -0.00010774153592481592
0.36 -0.17 1.9 202.5 -0.00271749 0.00209449 -0.00016159357264060225
0.36 -0.17 1.9 217.5 -0.00561817 0.00213552 -0.0003340804058164896
0.36 -0.17 1.9 232.5 -0.00722537 0.00218905 -0.00042965138857925083
0.36 -0.17 1.9 247.5 -0.010472 0.00229357 -0.0006227098876876775
0.36 -0.17 1.9 262.5 -0.0148035 0.00234856 -0.000880279394803718
0.36 -0.17 1.9 277.5 -0.0125296 0.00241503 -0.0007450635799056078
0.36 -0.17 1.9 292.5 -0.0127034 0.00238608 -0.0007553984708987436
0.36 -0.17 1.9 307.5 -0.0121674 0.00251514 -0.0007235256195044928
0.36 -0.17 1.9 322.5 -0.0107444 0.00252441 -0.0006389079561947557
0.36 -0.17 1.9 337.5 -0.0030596 0.00262002 -0.00018193689575718278
0.36 -0.17 1.9 352.5 0.000272836 0.00277689 0.000016223994930973566
0.36 -0.23 1.9 7.5 0.0102991 0.00573603 0.0006124285145420321
0.36 -0.23 1.9 22.5 0.00734838 0.00514089 0.0004369660890456814
0.36 -0.23 1.9 37.5 0.0162255 0.00424997 0.0009648375938384657
0.36 -0.23 1.9 52.5 0.0229899 0.00373493 0.001367077735575911
0.36 -0.23 1.9 67.5 0.0186817 0.00352505 0.0011108937460671204
0.36 -0.23 1.9 82.5 0.0178506 0.00333832 0.001061472987123535
0.36 -0.23 1.9 97.5 0.0137642 0.00307951 0.0008184781738073655
0.36 -0.23 1.9 112.5 0.0109615 0.00290547 0.0006518176502949272
0.36 -0.23 1.9 127.5 0.00851883 0.00259923 0.0005065660497068772
0.36 -0.23 1.9 142.5 0.00808987 0.00238138 0.00048105825430747826
0.36 -0.23 1.9 157.5 0.00457769 0.00234157 0.00027220901697564976
0.36 -0.23 1.9 172.5 -0.00126059 0.00223395 -0.00007496007040872894
0.36 -0.23 1.9 187.5 0.000863918 0.00220479 0.00005137225752018363
0.36 -0.23 1.9 202.5 0.00278203 0.00230637 0.00016543139694841
0.36 -0.23 1.9 217.5 -0.00593165 0.00237685 -0.00035272126674012723
0.36 -0.23 1.9 232.5 -0.00630978 0.0025746 -0.00037520649304182145
0.36 -0.23 1.9 247.5 -0.0118671 0.00287575 -0.0007056684977252137
0.36 -0.23 1.9 262.5 -0.0152961 0.00313024 -0.0009095714966634343
0.36 -0.23 1.9 277.5 -0.0188265 0.00325109 -0.0011195041730855673
0.36 -0.23 1.9 292.5 -0.0229743 0.00347349 -0.0013661500928860782
0.36 -0.23 1.9 307.5 -0.0187466 0.00367548 -0.0011147529775139243
0.36 -0.23 1.9 322.5 -0.0208474 0.00431845 -0.0012396755264113912
0.36 -0.23 1.9 337.5 -0.0156484 0.0051827 -0.0009305207607421556
0.36 -0.23 1.9 352.5 -0.00227054 0.00578542 -0.00013501601493414624
0.36 -0.28 1.9 7.5 0.000155965 0.00602421 9.274345648702122e-6
0.36 -0.28 1.9 22.5 0.0151864 0.00503678 0.000903048265697111
0.36 -0.28 1.9 37.5 0.0112474 0.0041947 0.0006688184865143605
0.36 -0.28 1.9 52.5 0.0151904 0.00358189 0.0009032861227970681
0.36 -0.28 1.9 67.5 0.0105912 0.00351878 0.0006297980292663991
0.36 -0.28 1.9 82.5 0.017071 0.00347925 0.0010151146383418968
0.36 -0.28 1.9 97.5 0.00833987 0.00334349 0.0004959243230547967
0.36 -0.28 1.9 112.5 0.0124529 0.00315263 0.0007405026700139304
0.36 -0.28 1.9 127.5 0.0106114 0.00279637 0.0006309992076211823
0.36 -0.28 1.9 142.5 0.00792594 0.00259956 0.0004713102757084865
0.36 -0.28 1.9 157.5 0.00815106 0.00248277 0.0004846968732940719
0.36 -0.28 1.9 172.5 0.000189271 0.00249549 0.000011254862791494883
0.36 -0.28 1.9 187.5 -0.00527413 0.00242224 -0.0003136223166491798
0.36 -0.28 1.9 202.5 -0.00405383 0.00247324 -0.0002410580618797687
0.36 -0.28 1.9 217.5 -0.00634995 0.0025262 -0.00037759517296814056
0.36 -0.28 1.9 232.5 -0.00827827 0.00267877 -0.0004922613237154575
0.36 -0.28 1.9 247.5 -0.0125954 0.00312046 -0.000748976329199902
0.36 -0.28 1.9 262.5 -0.01274 0.0033828 -0.000757574863363351
0.36 -0.28 1.9 277.5 -0.0144148 0.00342778 -0.0008571656311153872
0.36 -0.28 1.9 292.5 -0.0174942 0.00327991 -0.0010402799195173577
0.36 -0.28 1.9 307.5 -0.019077 0.00336632 -0.0011343999739703806
0.36 -0.28 1.9 322.5 -0.0150605 0.0041293 -0.0008955617134759614
0.36 -0.28 1.9 337.5 -0.0186338 0.0050356 -0.0011080454072951342
0.36 -0.28 1.9 352.5 0.00108912 0.00590643 0.00006476373117631813
0.36 -0.33 1.9 7.5 0.00917206 0.0107719 0.0005454098980581207
0.36 -0.33 1.9 22.5 0.0148587 0.00849417 0.000883561822783126
0.36 -0.33 1.9 37.5 0.0123661 0.00569552 0.0007353411709448615
0.36 -0.33 1.9 52.5 0.0211556 0.00406808 0.0012580024159630854
0.36 -0.33 1.9 67.5 0.0202597 0.00384806 0.0012047283720001947
0.36 -0.33 1.9 82.5 0.01454 0.00374326 0.0008646105583440443
0.36 -0.33 1.9 97.5 0.0105876 0.0032214 0.0006295839578764376
0.36 -0.33 1.9 112.5 0.00854332 0.00287512 0.0005080223298013645
0.36 -0.33 1.9 127.5 0.00931131 0.00241471 0.0005536902983503771
0.36 -0.33 1.9 142.5 0.00426397 0.00204098 0.00025355388462601475
0.36 -0.33 1.9 157.5 0.000901001 0.00196758 0.000053577371229610886
0.36 -0.33 1.9 172.5 -0.000166755 0.00187163 -9.91596517583639e-6
0.36 -0.33 1.9 187.5 -0.000500811 0.00199568 -0.000029780363021653312
0.36 -0.33 1.9 202.5 0. 0.00187671 0.
0.36 -0.33 1.9 217.5 -0.00163646 0.00212314 -0.00009731090744894737
0.36 -0.33 1.9 232.5 -0.00615458 0.00237105 -0.0003659776375634861
0.36 -0.33 1.9 247.5 -0.00970765 0.00284201 -0.000577258369099626
0.36 -0.33 1.9 262.5 -0.00477012 0.00331859 -0.0002836517274118358
0.36 -0.33 1.9 277.5 -0.0132158 0.00369229 -0.0007858679654032476
0.36 -0.33 1.9 292.5 -0.012577 0.00370074 -0.0007478821865400993
0.36 -0.33 1.9 307.5 -0.0215296 0.00401326 -0.001280242054809074
0.36 -0.33 1.9 322.5 -0.0241317 0.00542168 -0.0014349740447586639
0.36 -0.33 1.9 337.5 -0.00162417 0.00832675 -0.0000965800915093292
0.36 -0.33 1.9 352.5 -0.00711974 0.0108163 -0.00042337017721213386
0.36 -0.17 2.3 7.5 0.00471996 0.0026381 0.00028066899937837376
0.36 -0.17 2.3 22.5 0.000780245 0.00275156 0.00004639670323900611
0.36 -0.17 2.3 37.5 0.00611863 0.0027338 0.0003638398968776217
0.36 -0.17 2.3 52.5 0.00904848 0.00268152 0.0005380613029549461
0.36 -0.17 2.3 67.5 0.0141021 0.00259026 0.0008385711523262411
0.36 -0.17 2.3 82.5 0.00901441 0.00255234 0.0005360353551060617
0.36 -0.17 2.3 97.5 0.00631694 0.00250158 0.0003756322572507446
0.36 -0.17 2.3 112.5 0.0137168 0.0025257 0.0008156595671728738
0.36 -0.17 2.3 127.5 0.00656647 0.00244182 0.00039047037778881815
0.36 -0.17 2.3 142.5 0.00438146 0.00236789 0.00026054034229450456
0.36 -0.17 2.3 157.5 -0.000225656 0.00226746 -0.000013418470436979618
0.36 -0.17 2.3 172.5 0.00108869 0.00234885 0.00006473816153807273
0.36 -0.17 2.3 187.5 -0.000603703 0.00223047 -0.000035898761203849696
0.36 -0.17 2.3 202.5 -0.0024669 0.00232233 -0.0001466924199710401
0.36 -0.17 2.3 217.5 -0.00556853 0.00241897 -0.00033112859920602207
0.36 -0.17 2.3 232.5 -0.00986966 0.00247656 -0.0005868921762906382
0.36 -0.17 2.3 247.5 -0.00710325 0.00253106 -0.0004223896113175607
0.36 -0.17 2.3 262.5 -0.0124911 0.00262096 -0.0007427742053185207
0.36 -0.17 2.3 277.5 -0.00982881 0.00267519 -0.0005844630606573264
0.36 -0.17 2.3 292.5 -0.00859298 0.00267724 -0.0005109753256973318
0.36 -0.17 2.3 307.5 -0.010596 0.00269267 -0.0006300834577863475
0.36 -0.17 2.3 322.5 -0.0102661 0.00272423 -0.000610466193467386
0.36 -0.17 2.3 337.5 -0.00175359 0.00262917 -0.00010427595797844103
0.36 -0.17 2.3 352.5 0.00115972 0.00260192 0.00006896190899056086
0.36 -0.23 2.3 7.5 0.009375 0.00459753 0.000557477578024444
0.36 -0.23 2.3 22.5 0.0172192 0.00449094 0.0010239272438953072
0.36 -0.23 2.3 37.5 0.0128031 0.0041197 0.0007613270591151742
0.36 -0.23 2.3 52.5 0.0146625 0.00385161 0.0008718949320302303
0.36 -0.23 2.3 67.5 0.0184976 0.00356005 0.001099946373041595
0.36 -0.23 2.3 82.5 0.00953507 0.00336874 0.0005669960245219771
0.36 -0.23 2.3 97.5 0.0148082 0.00323634 0.0008805588768961676
0.36 -0.23 2.3 112.5 0.0133772 0.00296313 0.0007954654993865165
0.36 -0.23 2.3 127.5 0.00894254 0.00283513 0.0005317616576625825
0.36 -0.23 2.3 142.5 0.00753502 0.00261285 0.0004480645013296795
0.36 -0.23 2.3 157.5 0.00346584 0.0026451 0.00020609366282882548
0.36 -0.23 2.3 172.5 -0.000452891 0.00243039 -0.000026930834964167303
0.36 -0.23 2.3 187.5 -0.000461335 0.00251286 -0.00002743295130217673
0.36 -0.23 2.3 202.5 -0.000375009 0.00264135 -0.000022299638299452662
0.36 -0.23 2.3 217.5 -0.00727411 0.00276557 -0.00043254967734222805
0.36 -0.23 2.3 232.5 -0.00518646 0.00287788 -0.00030840908366087016
0.36 -0.23 2.3 247.5 -0.0114624 0.00300008 -0.0006816033056370545
0.36 -0.23 2.3 262.5 -0.0101581 0.00327631 -0.0006040440517685444
0.36 -0.23 2.3 277.5 -0.0205092 0.00340911 -0.0012195647086100188
0.36 -0.23 2.3 292.5 -0.016665 0.00372972 -0.0009909721426962514
0.36 -0.23 2.3 307.5 -0.0192879 0.00396277 -0.0011469409895656184
0.36 -0.23 2.3 322.5 -0.0218512 0.00417253 -0.0012993657656456246
0.36 -0.23 2.3 337.5 -0.00345234 0.00443461 -0.00020529089511647027
0.36 -0.23 2.3 352.5 -0.00274083 0.00454922 -0.00016298146881885193
0.36 -0.28 2.3 7.5 0.0117 0.00590145 0.000695732017374506
0.36 -0.28 2.3 22.5 0.0115427 0.00551622 0.0006863782869186932
0.36 -0.28 2.3 37.5 0.0194471 0.00437954 0.0011564077021439106
0.36 -0.28 2.3 52.5 0.0157643 0.00377662 0.0009374126702134123
0.36 -0.28 2.3 67.5 0.0233195 0.00358788 0.0013866771606123756
0.36 -0.28 2.3 82.5 0.0144961 0.00325885 0.0008620000766720151
0.36 -0.28 2.3 97.5 0.0124182 0.00292887 0.0007384392596718027
0.36 -0.28 2.3 112.5 0.0109635 0.0027721 0.0006519365788449057
0.36 -0.28 2.3 127.5 0.0053779 0.00247998 0.00031979292446481677
0.36 -0.28 2.3 142.5 0.00571624 0.00248035 0.00033991206726468774
0.36 -0.28 2.3 157.5 0.00503113 0.00245111 0.0002991724978267862
0.36 -0.28 2.3 172.5 0.0000923889 0.00245384 5.493838955556539e-6
0.36 -0.28 2.3 187.5 0.000277455 0.00226343 0.000016498660417149024
0.36 -0.28 2.3 202.5 -0.00324172 0.00226216 -0.00019276652951822937
0.36 -0.28 2.3 217.5 -0.00642585 0.00247736 -0.0003821085114398265
0.36 -0.28 2.3 232.5 -0.0058353 0.00271762 -0.00034699188384491067
0.36 -0.28 2.3 247.5 -0.00663785 0.00272885 -0.00039471493773755254
0.36 -0.28 2.3 262.5 -0.0149212 0.00300816 -0.0008872783399699555
0.36 -0.28 2.3 277.5 -0.0144106 0.00325832 -0.0008569158811604322
0.36 -0.28 2.3 292.5 -0.0151769 0.0035382 -0.0009024833550847129
0.36 -0.28 2.3 307.5 -0.0200343 0.00404734 -0.0011913251244176125
0.36 -0.28 2.3 322.5 -0.0147769 0.00450287 -0.0008786976450890034
0.36 -0.28 2.3 337.5 -0.0122943 0.0050034 -0.0007310716360006315
0.36 -0.28 2.3 352.5 -0.0041674 0.00580143 -0.00024781141959030056
0.36 -0.33 2.3 7.5 0.00531075 0.0045312 0.00031579989839928706
0.36 -0.33 2.3 22.5 0.00613371 0.0037542 0.00036473661814445993
0.36 -0.33 2.3 37.5 0.00510228 0.00317095 0.00030340338099227304
0.36 -0.33 2.3 52.5 0.00994019 0.00287785 0.0005910861916056317
0.36 -0.33 2.3 67.5 0.0120003 0.00298965 0.000713589139153785
0.36 -0.33 2.3 82.5 0.0116927 0.00292197 0.0006952979281670844
0.36 -0.33 2.3 97.5 0.0135427 0.0029787 0.0008053068368972413
0.36 -0.33 2.3 112.5 0.0061781 0.00277313 0.0003673762373112338
0.36 -0.33 2.3 127.5 0.00927602 0.00265401 0.0005515918040860056
0.36 -0.33 2.3 142.5 0.00610631 0.00252303 0.00036310729700975386
0.36 -0.33 2.3 157.5 0.00733263 0.0024798 0.00043602952671460037
0.36 -0.33 2.3 172.5 0.00230924 0.00251118 0.00013731728237623115 
0.36 -0.33 2.3 187.5 -0.00161851 0.00243276 -0.0000962435237128899 
0.36 -0.33 2.3 202.5 -0.0056918 0.00262678 -0.0003384587603839499 
0.36 -0.33 2.3 217.5 -0.00740993 0.0024842 -0.0004406261151712713 
0.36 -0.33 2.3 232.5 -0.0073352 0.00267084 -0.0004361823499013228 
0.36 -0.33 2.3 247.5 -0.00118543 0.00275213 -0.0000704907355005351 
0.36 -0.33 2.3 262.5 -0.0106195 0.00295365 -0.0006314808682485955 
0.36 -0.33 2.3 277.5 -0.0195084 0.00313309 -0.0011600528622007532 
0.36 -0.33 2.3 292.5 -0.0114044 0.0030588 -0.0006781543776876766 
0.36 -0.33 2.3 307.5 -0.0134294 0.00296766 -0.0007985695345409565 
0.36 -0.33 2.3 322.5 -0.0121582 0.00339859 -0.0007229785481745913 
0.36 -0.33 2.3 337.5 -0.00624982 0.00389056 -0.00037164101511346454 
0.36 -0.33 2.3 352.5 -0.00135903 0.00430271 -0.00008081373363867307 
