id = 139
editor = MC
#Feb. 2020

###Experiment

collaboration = HALLA
process = en2engamma
exptype = fixed target
year = 2020
reference =  doi:10.1038/s41567-019-0774-3
inspiretex = Benali:2020vma
reference2 = Table 3


### Scattering Process

frame = Trento

in1particle = e-
in1energyunit = GeV

in2particle = n

out1particle = e-
out2particle = n
out3particle = gamma


### Observable 
y1name = XUU
y1namelong = Beam Helicity Independent Cross Section 
# or Beam spin sum
y1unit = pb/GeV^4
y1value = column4
y1errorstatistic = column5
y1errorsystematicplus = column6
y1errorsystematicminus = column7


### x-axes

x1name = in1energy
x1unit = GeV
x1value = column1

x2name = t
x2unit = GeV^2
x2value = column2

x3name = phi
x3unit = deg
x3value = column3

x4name = xB
x4unit = 1
x4value = 0.36

x5name = Q2
x5unit = GeV^2
x5value = 1.75


### Data

#in1energy	 t	    phi 				XUU 	stat	sysplus	sysminus
#########################################################################
5.55	-0.32		135					10.8028	3.59026	2.79919	2.89563
5.55	-0.32		165					17.3868	3.86437	6.18441	6.16879
5.55	-0.32		195					7.9187	2.71484	3.76301	3.21722
5.55	-0.32		225					12.0992	3.34047	3.06748	3.18174
5.55	-0.32		255					9.76586	3.36039	1.93682	2.9007
5.55	-0.32		285					28.3084	4.9247	9.00567	9.30685
5.55	-0.32		315					25.7737	5.52837	6.47727	7.49175
5.55	-0.32		345					25.8477	8.57404	9.07725	12.6618
5.55	-0.4		15					19.6649	8.3403	4.47684	13.586
5.55	-0.4		45					15.4314	4.46866	3.699	6.04069
5.55	-0.4		75					14.3022	2.67224	1.89122	2.02944
5.55	-0.4		105					8.25763	2.73027	1.94935	1.29343
5.55	-0.4		135					2.92917	1.83246	1.3019	0.968604
5.55	-0.4		165					9.34889	2.80849	1.68167	2.20648
5.55	-0.4		195					10.3409	2.66901	2.11352	2.64143
5.55	-0.4		225					8.39732	2.12201	1.18342	1.94406
5.55	-0.4		255					15.5517	3.00584	1.87702	3.29109
5.55	-0.4		285					17.4739	3.13107	2.50145	1.98951
5.55	-0.4		315					16.8339	4.4176	3.27694	4.85456
5.55	-0.4		345					5.64666	5.55106	3.5799	10.8534
