'PARSIGMA'
71.d0
4.d0
4
0.1  29.9   4.1   7.1
0.3   8.0   1.4   1.4
0.5   2.13  0.60  0.69
0.8   0.27  0.12  0.14


*     DATASET 1  [H1,  Eur.Phys.J.C44:1-11,2005, hep-ex/0505061]
*       X = -T,   Y = DSIG/DT   
*       W = 71 GeV, Q2 = 4 GeV
