'SIGMA'                    YOBS
-1                         W
8.0d0                      Q2
5                          N
45   2.56  0.36  0.32
70   2.93  0.63  0.46
90   4.45  0.83  0.82
110  5.3   1.4   1.4
130  6.4   2.5   2.7

*     DVCS_H1_6  [H1,  Eur.Phys.J.C44:1-11,2005, hep-ex/0505061]
*       X = W,   Y = SIG   (TCUT = - 1 GeV)
*       Q2 = 8 GeV^2
*    1999-2000 data from Table 3
