'PARSIGMA'                 YOBS
82.d0                       W
8.d0                        Q2
4                           N
0.1   12.0  1.2   2.9
0.3   3.44  0.38  0.61
0.5   0.84  0.17  0.29
0.8   0.21  0.04  0.09


*     DVCS2  [H1,  Eur.Phys.J.C44:1-11,2005, hep-ex/0505061]
*       X = -T,   Y = DSIG/DT   
*       W = 82 GeV, Q2 = 8 GeV
