'SIGMA'                    YOBS
-1                         W
9.6d0                      Q2
10                         N
45 2.19 0.24 0.125 
55 2.96 0.28 0.15 
65 3.62 0.36 0.2 
75 3.88 0.42 0.22 
85 3.59 0.45 0.23 
95 3.29 0.55 0.21 
105 6.24 0.77 0.40 
115 4.86 0.76 0.43 
125 4.69 0.82 0.34 
135 5.55 0.99 0.6


*     DVCS6  [ZEUS, Phys.Lett.B573:46-62,2003, hep-ex/0305028]
*       X = W,   Y = SIG   (TCUT = - \inf GeV ???)
*       Q2 = 9.6 GeV
