'F2'
-1
8.5d0
9
 .00020   1.215    .050    .062 
 .00032   1.089    .038    .048 
 .00050   1.033    .034    .062 
 .00080    .923    .031    .038 
 .00130    .811    .030    .047 
 .00200    .770    .034    .049 
 .00320    .562    .028    .043 
 .00500    .648    .033    .051 
 .00800    .564    .032    .049 


*     DATASET 9  [H1,  Nucl.Phys.B470(96)3]
*       X = X_BJ,   Y = F2
*       Q2 = 8.5 GeV^2
