,dataset,id,editor,collaboration,process,exptype,year,reference2,frame,in1particle,in1energyunit,in2particle,out1particle,out2particle,out3particle,y1name,y1namelong,y1unit,y1value,y1errorstatistic,x1name,x1unit,x1value,x2name,x2unit,x2value,x3name,x3unit,x3value,x4name,x4unit,x4value,x5name,x5unit,x5value,xnames,xaxes,yaxis,filename,units,newunits,in1charge,in1energy,xB,Q2,t,phi,val,errplus,errminus,errstat,errsyst,errnorm,err,W,xi,tm,in1polarization,origval,origerr,origerrminus,origerrplus,origerrstat,origerrsyst,origerrnorm,newframe,s,y,eps,eps2,J,K2,K,tK2,tK,r,chi0,chi,intP1P2,P1P2
497,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,8.851,0.497,4.5,-0.40977500858416704,-1.439896632895322,-0.0007404,0.00024,0.00024,0.00024,0.0,0.0,0.00024,2.331240083327643,0.33067198935462405,0.0313,0,-0.0007404,0.00024,0.00024,0.00024,0.00024,0.0,0.0,BMK,17.489645544505073,0.5451362048393287,0.4396518346479422,0.19329373570930153,0.4044707675059867,-0.01945570679368779,,-0.19875145141306325,,,,-0.07811710346828804,-5.730923536952428,
498,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,8.851,0.497,4.5,-0.40977500858416704,-1.701696020694472,-0.0005999,0.00024,0.00024,0.00024,0.0,0.0,0.00024,2.331240083327643,0.33067198935462405,0.0313,0,-0.0005999,0.00024,0.00024,0.00024,0.00024,0.0,0.0,BMK,17.489645544505073,0.5451362048393287,0.4396518346479422,0.19329373570930153,0.4044707675059867,-0.01945570679368779,,-0.19875145141306325,,,,-0.07811710346828804,-5.730923536952428,
499,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,8.851,0.497,4.5,-0.40977500858416704,-1.9634954084936211,-0.0005461,0.00025,0.00025,0.00025,0.0,0.0,0.00025,2.331240083327643,0.33067198935462405,0.0313,0,-0.0005461,0.00025,0.00025,0.00025,0.00025,0.0,0.0,BMK,17.489645544505073,0.5451362048393287,0.4396518346479422,0.19329373570930153,0.4044707675059867,-0.01945570679368779,,-0.19875145141306325,,,,-0.07811710346828804,-5.730923536952428,
500,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,8.851,0.497,4.5,-0.40977500858416704,-2.2252947962927703,-0.0004212,0.00024,0.00024,0.00024,0.0,0.0,0.00024,2.331240083327643,0.33067198935462405,0.0313,0,-0.0004212,0.00024,0.00024,0.00024,0.00024,0.0,0.0,BMK,17.489645544505073,0.5451362048393287,0.4396518346479422,0.19329373570930153,0.4044707675059867,-0.01945570679368779,,-0.19875145141306325,,,,-0.07811710346828804,-5.730923536952428,
501,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,8.851,0.497,4.5,-0.40977500858416704,-2.4870941840919194,-0.0006256,0.00025,0.00025,0.00025,0.0,0.0,0.00025,2.331240083327643,0.33067198935462405,0.0313,0,-0.0006256,0.00025,0.00025,0.00025,0.00025,0.0,0.0,BMK,17.489645544505073,0.5451362048393287,0.4396518346479422,0.19329373570930153,0.4044707675059867,-0.01945570679368779,,-0.19875145141306325,,,,-0.07811710346828804,-5.730923536952428,
502,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,8.851,0.497,4.5,-0.40977500858416704,-2.7488935718910694,7.686,5.0,5.0,5.0,0.0,0.0,5.0,2.331240083327643,0.33067198935462405,0.0313,0,7.686,5.0,5.0,5.0,5.0,0.0,0.0,BMK,17.489645544505073,0.5451362048393287,0.4396518346479422,0.19329373570930153,0.4044707675059867,-0.01945570679368779,,-0.19875145141306325,,,,-0.07811710346828804,-5.730923536952428,
503,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,8.851,0.497,4.5,-0.40977500858416704,-3.0106929596902186,-7.159,5.0,5.0,5.0,0.0,0.0,5.0,2.331240083327643,0.33067198935462405,0.0313,0,-7.159,5.0,5.0,5.0,5.0,0.0,0.0,BMK,17.489645544505073,0.5451362048393287,0.4396518346479422,0.19329373570930153,0.4044707675059867,-0.01945570679368779,,-0.19875145141306325,,,,-0.07811710346828804,-5.730923536952428,
504,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,8.851,0.501,4.53,-0.479562971066604,3.0106929596902186,0.0003497,0.00032,0.00032,0.00032,0.0,0.0,0.00032,2.3221262967469585,0.3342228152101401,0.0926,0,0.0003497,0.00032,0.00032,0.00032,0.00032,0.0,0.0,BMK,17.489645544505073,0.5443890454368212,0.44172032477037687,0.19511684531524723,0.40912117048094293,-0.016194574586289073,,-0.16629406957907564,,,,-0.06621545126374973,-5.87403799359624,
505,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,8.851,0.501,4.53,-0.479562971066604,2.748893571891069,0.0002349,0.00028,0.00028,0.00028,0.0,0.0,0.00028,2.3221262967469585,0.3342228152101401,0.0926,0,0.0002349,0.00028,0.00028,0.00028,0.00028,0.0,0.0,BMK,17.489645544505073,0.5443890454368212,0.44172032477037687,0.19511684531524723,0.40912117048094293,-0.016194574586289073,,-0.16629406957907564,,,,-0.06621545126374973,-5.87403799359624,
506,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,8.851,0.501,4.53,-0.479562971066604,2.4870941840919194,0.0002097,0.00028,0.00028,0.00028,0.0,0.0,0.00028,2.3221262967469585,0.3342228152101401,0.0926,0,0.0002097,0.00028,0.00028,0.00028,0.00028,0.0,0.0,BMK,17.489645544505073,0.5443890454368212,0.44172032477037687,0.19511684531524723,0.40912117048094293,-0.016194574586289073,,-0.16629406957907564,,,,-0.06621545126374973,-5.87403799359624,
