id = 50
editor = KK

# the y0 data are derived from the phi measurement
# of HALL A data from the experiment (BSD-HALLA-06)


### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
reference2 = DFT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = em
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 

y0name = BSDw
y0long = Weighted beam spin difference
y0unit = nb/GeV^4
y0value = column3
y0errorstatistic = column4
y0errorsystematic = column5


### x-axes

x0name = xB
x0unit = 1
x0value = 0.36

x1name = Q2
x1unit = GeV^2
x1value = column0

x2name = t
x2unit = GeV^2
x2value = column1

x3name = FTn
x3unit = 1
x3value = column2


### Data

# Q2    t     Ftn      BSDw     stat       syst (5.95%)
##############################################################
1.9   -0.33    3   -0.000557   0.000764   0.000033
1.9   -0.33   -4   -0.000677   0.000775   0.000040
1.9   -0.33    4    0.000034   0.000806   0.000002
1.9   -0.33   -5   -0.001936   0.000893   0.000115
1.9   -0.33    5   -0.001001   0.000882   0.000060
1.9   -0.33   -6   -0.000701   0.000822   0.000042
1.9   -0.33    6   -0.000376   0.000842   0.000022
1.9   -0.33   -7    0.000407   0.000926   0.000024
1.9   -0.33    7    0.000120   0.000790   0.000007
1.9   -0.33   -8    0.000737   0.000814   0.000044
1.9   -0.33    8   -0.000234   0.000836   0.000014
1.9   -0.33   -9    0.000699   0.000759   0.000042
1.9   -0.33    9    0.001160   0.000821   0.000069
1.9   -0.33   -10   -0.000598   0.000914   0.000036
1.9   -0.33    10   -0.000599   0.000818   0.000036
1.9   -0.33   -11    0.000295   0.000871   0.000018
1.9   -0.33    11   -0.000794   0.000890   0.000047
1.9   -0.33   -12    0.000175   0.000638   0.000010
1.9   -0.28    0   -0.000290   0.000704   0.000017
1.9   -0.28   -1    0.013570   0.001071   0.000807
1.9   -0.28    1    0.000449   0.000893   0.000027
1.9   -0.28   -2    0.003529   0.000960   0.000210
1.9   -0.28    2   -0.000032   0.000921   0.000002
1.9   -0.28   -3    0.001799   0.000928   0.000107
1.9   -0.28    3   -0.001186   0.000964   0.000071
1.9   -0.28   -4    0.000623   0.000900   0.000037
1.9   -0.28    4   -0.001109   0.000955   0.000066
1.9   -0.28   -5    0.000600   0.000868   0.000036
1.9   -0.28    5   -0.001259   0.000953   0.000075
1.9   -0.28   -6    0.000441   0.000825   0.000026
1.9   -0.28    6   -0.000895   0.000941   0.000053
1.9   -0.28   -7    0.000857   0.000974   0.000051
1.9   -0.28    7   -0.000393   0.000941   0.000023
1.9   -0.28   -8    0.000904   0.000884   0.000054
1.9   -0.28    8   -0.000490   0.000987   0.000029
1.9   -0.28   -9   -0.000133   0.000904   0.000008
1.9   -0.28    9   -0.001521   0.000879   0.000090
1.9   -0.28   -10   -0.000333   0.000949   0.000020
1.9   -0.28    10   -0.000776   0.000849   0.000046
1.9   -0.28   -11   -0.000713   0.000956   0.000042
1.9   -0.28    11    0.000434   0.000973   0.000026
1.9   -0.28   -12    0.000768   0.000689   0.000046
1.9   -0.23    0    0.000553   0.000721   0.000033
1.9   -0.23   -1    0.015127   0.000901   0.000900
1.9   -0.23    1    0.001402   0.000958   0.000083
1.9   -0.23   -2   -0.000834   0.000871   0.000050
1.9   -0.23    2    0.001138   0.000974   0.000068
1.9   -0.23   -3   -0.001018   0.000828   0.000061
1.9   -0.23    3   -0.000158   0.000899   0.000009
1.9   -0.23   -4   -0.000439   0.000973   0.000026
1.9   -0.23    4   -0.000411   0.000901   0.000024
1.9   -0.23   -5   -0.000872   0.001008   0.000052
1.9   -0.23    5   -0.001139   0.000842   0.000068
1.9   -0.23   -6   -0.001108   0.000941   0.000066
1.9   -0.23    6   -0.000287   0.000862   0.000017
1.9   -0.23   -7   -0.001018   0.000897   0.000061
1.9   -0.23    7   -0.001545   0.000915   0.000092
1.9   -0.23   -8   -0.001068   0.000838   0.000063
1.9   -0.23    8   -0.000106   0.000835   0.000006
1.9   -0.23   -9   -0.000589   0.000894   0.000035
1.9   -0.23    9   -0.000949   0.000862   0.000056
1.9   -0.23   -10   -0.000277   0.000889   0.000016
1.9   -0.23    10   -0.000989   0.000922   0.000059
1.9   -0.23   -11    0.000550   0.000809   0.000033
1.9   -0.23    11   -0.000106   0.000798   0.000006
1.9   -0.23   -12    0.000227   0.000622   0.000014
1.9   -0.17    0    0.000310   0.000515   0.000018
1.9   -0.17   -1    0.012718   0.000652   0.000756
1.9   -0.17    1    0.000612   0.000647   0.000036
1.9   -0.17   -2    0.000484   0.000618   0.000029
1.9   -0.17    2    0.000119   0.000759   0.000007
1.9   -0.17   -3   -0.001024   0.000658   0.000061
1.9   -0.17    3    0.000240   0.000707   0.000014
1.9   -0.17   -4    0.000919   0.000682   0.000055
1.9   -0.17    4    0.000523   0.000682   0.000031
1.9   -0.17   -5    0.000712   0.000676   0.000042
1.9   -0.17    5   -0.000694   0.000617   0.000041
1.9   -0.17   -6    0.000464   0.000690   0.000028
1.9   -0.17    6   -0.000348   0.000667   0.000021
1.9   -0.17   -7   -0.000395   0.000727   0.000024
1.9   -0.17    7    0.000820   0.000648   0.000049
1.9   -0.17   -8    0.000626   0.000718   0.000037
1.9   -0.17    8   -0.000390   0.000709   0.000023
1.9   -0.17   -9    0.000360   0.000647   0.000021
1.9   -0.17    9   -0.000523   0.000676   0.000031
1.9   -0.17   -10    0.000762   0.000682   0.000045
1.9   -0.17    10   -0.000952   0.000691   0.000057
1.9   -0.17   -11   -0.000210   0.000646   0.000012
1.9   -0.17    11   -0.000051   0.000641   0.000003
1.9   -0.17   -12   -0.000164   0.000474   0.000010
2.3   -0.33    0    0.000302   0.000635   0.000018
2.3   -0.33   -1    0.010694   0.000884   0.000636
2.3   -0.33    1    0.000922   0.000932   0.000055
2.3   -0.33   -2    0.003469   0.000901   0.000206
2.3   -0.33    2    0.000131   0.000909   0.000008
2.3   -0.33   -3    0.001008   0.000965   0.000060
2.3   -0.33    3   -0.001016   0.000954   0.000060
2.3   -0.33   -4    0.002513   0.000987   0.000149
2.3   -0.33    4    0.000225   0.000952   0.000013
2.3   -0.33   -5    0.001880   0.000909   0.000112
2.3   -0.33    5    0.000840   0.000941   0.000050
2.3   -0.33   -6   -0.000607   0.000928   0.000036
2.3   -0.33    6    0.000879   0.000825   0.000052
2.3   -0.33   -7   -0.001315   0.000972   0.000078
2.3   -0.33    7   -0.000675   0.000880   0.000040
2.3   -0.33   -8    0.000238   0.000956   0.000014
2.3   -0.33    8   -0.000964   0.000900   0.000057
2.3   -0.33   -9    0.001501   0.000948   0.000089
2.3   -0.33    9    0.000244   0.000959   0.000015
2.3   -0.33   -10    0.000298   0.000915   0.000018
2.3   -0.33    10   -0.000140   0.000819   0.000008
