id = 51
editor = KK

# the y0 data are derived from the phi measurement
# of HALL A data from the experiment (BSS-HALLA-06)

### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
reference2 = DFT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = em
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 
y0long = Weighted beam spin sum
y0name = BSSw
y0unit = 1
y0value = table0column2
y0error = table0column3


### x-axes

x0name = xB
x0unit = 1
x0value = 0.36

x1name = Q2
x1unit = GeV^2
x1value = 2.3


x2name = t
x2unit = GeV^2
x2value = column0

x3name = FTn
x3unit = 1
x3value = column1


### Data

#  t    FTn        BSSw                     err
##########################################################
-0.33   7   0.0004287490616554211   0.0006837593343650475
-0.33   -8   -0.0006867479838788742   0.0007177468155568974
-0.33   8   -0.0004567394001282062   0.0006106597417629974
-0.33   -9   0.00045913593106049276   0.0006080642380427106
-0.33   9   -0.000836045654699898   0.0005786787530651054
-0.33   -10   0.001141163107509047   0.0005841173744853958
-0.33   10   -0.0005604507177273828   0.0006197784295417473
-0.33   -11   0.0010487651020106696   0.000676116387119653
-0.33   11   -0.0010085813554753015   0.0005832150226025208
-0.33   -12   0.0005500439885046409   0.0004395070421862452
