id = 51
editor = KK

# the y0 data are derived from the phi measurement
# of HALL A data from the experiment (BSS-HALLA-06)

### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
reference2 = DFT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = em
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 
y0long = Weighted beam spin sum
y0name = BSSw
y0unit = 1
y0value = table0column2
y0error = table0column3


### x-axes

x0name = xB
x0unit = 1
x0value = 0.36

x1name = Q2
x1unit = GeV^2
x1value = 2.3


x2name = t
x2unit = GeV^2
x2value = column0

x3name = FTn
x3unit = 1
x3value = column1


### Data

#  t    FTn        BSSw                     err
##########################################################
-0.17   0   0.06570426548015657   0.0005311925496284833
-0.17   -1   -0.0013949481518102515   0.0006737961630127154
-0.17   1   -0.0032476593910303643   0.0007557366294149319
-0.17   -2   -0.000880397605964468   0.0007331999934641153
-0.17   2   -0.0009110697546126194   0.000735838797041514
-0.17   -3   0.0011716777967080646   0.000835117383295623
-0.17   3   -0.0002369490886171861   0.0006998490711966562
-0.17   -4   -0.0007990421439697002   0.000748458107473962
-0.17   4   -0.0014216614084450422   0.000726017821230359
-0.17   -5   0.0004949164345136507   0.0007152566623405765
-0.17   5   0.0005044469581148675   0.000832363105593358
-0.17   -6   0.00016225362181969142   0.0006996069914621503
-0.17   6   -0.00047786018900939606   0.0007098422199620806
-0.17   -7   0.0013796639880028464   0.0007872301006652433
-0.17   7   0.00039716461971647717   0.0007798843486039143
-0.17   -8   0.00042880873386052934   0.0007444503809376105
-0.17   8   0.0005014290262160497   0.0008098229690176367
-0.17   -9   0.0002643510945948264   0.0007707690641182087
-0.17   9   0.00003717707813318027   0.0008038155978586379
-0.17   -10   -0.0000715747233180484   0.0007296911466068025
-0.17   10   0.0008138587755211235   0.0007313126361228368
-0.17   -11   0.00034534055069552805   0.0006333408234526005
-0.17   11   0.00042936582986125536   0.0007449447325094909
-0.17   -12   0.000658696847513246   0.0005572741828819757
-0.23   0   0.05073141071622024   0.0004646361181461012
-0.23   -1   -0.000991964299340598   0.000680467364182555
-0.23   1   0.006674458417822144   0.0006273998723582159
-0.23   -2   -0.0000501521052411802   0.000757008699924171
-0.23   2   -0.0011134075222059285   0.0006972726914145518
-0.23   -3   -0.00031407777773046706   0.0006674357718300443
-0.23   3   -0.00004471925349125846   0.0007256243316283901
-0.23   -4   -0.0009778915986376154   0.0006657542282287866
-0.23   4   -0.0007636230238068348   0.0006729000486787955
-0.23   -5   0.00036084638607189966   0.0006418637472076077
-0.23   5   -0.000021603307633758992   0.0006407390102894388
-0.23   -6   -0.00018059805532528818   0.0007277250519214785
-0.23   6   -0.0007225600002687986   0.0006951990528975444
-0.23   -7   0.000271375869977818   0.0006303021685359625
-0.23   7   -0.0005591721851725726   0.0006289861938845726
-0.23   -8   0.00015048749777167426   0.0007137944693135375
-0.23   8   -0.0004264359471882806   0.0006520405170266695
-0.23   -9   0.00039860023946114794   0.0006591020228204752
-0.23   9   0.00008751832015874289   0.0006306630573606162
-0.23   -10   -0.00046411232831654   0.000603571575567301
-0.23   10   -0.0013652098832409808   0.000685835914112863
-0.23   -11   -0.000709418974096059   0.000726900990761583
-0.23   11   -0.0008434604191257376   0.0007332134903897451
-0.23   -12   -0.0001299738637756851   0.0005339429532032927
-0.28   0   0.040287378934097395   0.0004645228221484363
-0.28   -1   0.000016018826706636654   0.0006332568379802776
-0.28   1   0.011048001637278171   0.0006542050801415462
-0.28   -2   0.000537215986363998   0.000641593274503586
-0.28   2   -0.0009097747098725632   0.0006917780299402909
-0.28   -3   0.0015119219923258724   0.0006446591341000203
-0.28   3   0.00009126836326723978   0.0006636540294211806
-0.28   -4   0.0011520008008281337   0.0006917802600952533
-0.28   4   0.00043763454118559753   0.0006230515885406868
-0.28   -5   0.003299421085720688   0.0006319817352286878
-0.28   5   -0.0002554610169818738   0.0006691712597527213
-0.28   -6   0.0004751111638894395   0.0006492400807821532
-0.28   6   0.0001381353542997393   0.000666271369812225
-0.28   -7   0.0015636374798078255   0.000639053834286876
-0.28   7   0.0013226208093414834   0.0006867593704336975
-0.28   -8   0.0006297199399075502   0.0006752212820374061
-0.28   8   0.0004026859901806541   0.0007343588176029744
-0.28   -9   -0.000756816278573551   0.0006390786999612506
-0.28   9   0.00018670227239286972   0.000639222834874782
-0.28   -10   -0.00017871815395137294   0.0006385445866855119
-0.28   10   -0.00015242458045957197   0.0006784253417800518
-0.28   -11   0.0006098768587787982   0.000649911131739533
-0.28   11   -0.000017906246608548955   0.0006119322533039601
-0.28   -12   0.0008602514443389457   0.0004578337275785911
-0.33   0   0.033757930801577386   0.0004829967744090598
-0.33   -1   -0.0008455506565029567   0.0005726455046818217
-0.33   1   0.014509316635168551   0.0006938655900968802
-0.33   -2   0.0008939153180280627   0.0006542351172343147
-0.33   2   0.0018861937093806388   0.0006939947716651739
-0.33   -3   -0.0003604185422606645   0.0006841019481137556
-0.33   3   -0.00023920596697043318   0.000728644576686881
-0.33   -4   -0.000702408164194837   0.0006997541502462207
-0.33   4   0.0008242881541237369   0.0006842077869917232
-0.33   -5   -0.0001722786937925689   0.0006918816559753479
-0.33   5   -0.0003310048705759837   0.0006686024361472623
-0.33   -6   -0.0003606705058506353   0.0006918283620701676
-0.33   6   0.0003329386228805834   0.0006631859427512075
-0.33   -7   0.0006892415014956272   0.0006619649571377054
