id = 83
editor = KK



### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2014
reference =  private communication
reference2 = from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV

in2polarizationvector = L
in2polarization = +1
in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{UL}


y1name = TSA
y1namelong = Longitudinally Polarized Target Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is given to us



### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2014 TSA
#
# Q2        xB       -t       phi    TSA      stat_err_TSA
###########################################################
 1.4603   0.1756   1.0816   125.9660   0.3168   0.2251
 1.4603   0.1756   1.0816   161.8830   0.3603   0.0886
 1.4603   0.1756   1.0816   198.8630   0.0551   0.1631
 1.4603   0.1756   1.0816   235.8380   0.1829   0.1971
 1.4603   0.1756   1.0816   269.8610  -0.2938   0.1181
 1.4603   0.1756   1.0816   308.0970   0.0350   0.1757
 1.4603   0.1756   1.0816   340.6940  -0.2108   0.2045
 2.4683   0.3500   1.1916   19.2325   0.0478   0.0372
 2.4683   0.3500   1.1916   52.1529   0.1721   0.0488
 2.4683   0.3500   1.1916   89.1628   0.0641   0.0694
 2.4683   0.3500   1.1916   125.9660   0.2146   0.0695
 2.4683   0.3500   1.1916   161.8830   0.1689   0.0723
 2.4683   0.3500   1.1916   198.8630  -0.2350   0.0718
 2.4683   0.3500   1.1916   235.8380  -0.2450   0.0747
 2.4683   0.3500   1.1916   269.8610  -0.2149   0.0535
 2.4683   0.3500   1.1916   308.0970  -0.1578   0.0553
 2.4683   0.3500   1.1916   340.6940  -0.0494   0.0328
 2.3622   0.2545   0.1378   19.2325   0.0160   0.0535
 2.3622   0.2545   0.1378   52.1529   0.0082   0.0541
 2.3622   0.2545   0.1378   89.1628  -0.0076   0.0654
 2.3622   0.2545   0.1378   125.9660   0.1333   0.0968
 2.3622   0.2545   0.1378   161.8830   0.2553   0.1218
 2.3622   0.2545   0.1378   198.8630   0.0762   0.1037
 2.3622   0.2545   0.1378   235.8380  -0.1673   0.0873
 2.3622   0.2545   0.1378   269.8610  -0.1548   0.0701
 2.3622   0.2545   0.1378   308.0970  -0.1023   0.0510
 2.3622   0.2545   0.1378   340.6940  -0.0818   0.0606
 3.1513   0.4152   0.2714   19.2325  -0.3397   0.1984
 3.1513   0.4152   0.2714   52.1529  -0.0096   0.2462
          
 2.4475   0.2648   0.2286   19.2325   0.0413   0.0901
 2.4475   0.2648   0.2286   52.1529   0.0847   0.0601
 2.4475   0.2648   0.2286   89.1628   0.0732   0.0766
 2.4475   0.2648   0.2286   125.9660   0.0965   0.1077
 2.4475   0.2648   0.2286   161.8830  -0.1855   0.1242
 2.4475   0.2648   0.2286   198.8630   0.1555   0.1064
 2.4475   0.2648   0.2286   235.8380  -0.2393   0.0979
 2.4475   0.2648   0.2286   269.8610  -0.1415   0.0775
