id = 34
editor = KK
editor1 = DM
# Feb. 2010
# modified naming scheme


### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
reference2 = private tables


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 

y0name = BSS
y0namelong = Beam Helicity Independent Cross Section
# or Beam spin sum
y0unit = nb/GeV^4
y0value = table0column4
y0errorstatistic = table0column5
# only statistic error was given
# systematic one is considered to be small


### x-axes

x0name = xB
x0unit = 1 
x0value = table0column0

x1name = t
x1unit = GeV^2
x1value = table0column1

x2name = Q2
x2unit = GeV^2
x2value = table0column2

x3name = phi
x3unit = degree
x3value = table0column3


### Data 
# table0
#xB     t     Q2   phi      BSS        sta
###############################################
0.36  -0.17  2.3  7.5    0.0907029  0.00274594
0.36  -0.17  2.3  22.5   0.0928639  0.00281678
0.36  -0.17  2.3  37.5   0.0888568  0.00277485
0.36  -0.17  2.3  52.5   0.0811857  0.00271066
0.36  -0.17  2.3  67.5   0.0722848  0.00260009
0.36  -0.17  2.3  82.5   0.0667501  0.00253746
0.36  -0.17  2.3  97.5   0.0593614  0.0024848
0.36  -0.17  2.3  112.5  0.0604322  0.00253641
0.36  -0.17  2.3  127.5  0.0545076  0.00247779
0.36  -0.17  2.3  142.5  0.0524601  0.00244324
0.36  -0.17  2.3  157.5  0.047975   0.00235452
0.36  -0.17  2.3  172.5  0.0503381  0.00243098
0.36  -0.17  2.3  187.5  0.0462495  0.00232313
0.36  -0.17  2.3  202.5  0.0493413  0.00240849
0.36  -0.17  2.3  217.5  0.0555113  0.00248763
0.36  -0.17  2.3  232.5  0.0574792  0.00251968
0.36  -0.17  2.3  247.5  0.0597006  0.00254152
0.36  -0.17  2.3  262.5  0.0668126  0.00260838
0.36  -0.17  2.3  277.5  0.0713679  0.00266548
0.36  -0.17  2.3  292.5  0.0763438  0.00268427
0.36  -0.17  2.3  307.5  0.0810639  0.00271088
0.36  -0.17  2.3  322.5  0.0888858  0.00278655
0.36  -0.17  2.3  337.5  0.0854426  0.00269929
0.36  -0.17  2.3  352.5  0.0864626  0.00270623
0.36  -0.23  2.3  7.5    0.0976179  0.00339291
0.36  -0.23  2.3  22.5   0.0984712  0.00332723
0.36  -0.23  2.3  37.5   0.0827376  0.00304711
0.36  -0.23  2.3  52.5   0.0751522  0.00283342
0.36  -0.23  2.3  67.5   0.0621405  0.00260604
0.36  -0.23  2.3  82.5   0.0561458  0.00246508
0.36  -0.23  2.3  97.5   0.0513424  0.00235577
0.36  -0.23  2.3  112.5  0.0430226  0.00216261
0.36  -0.23  2.3  127.5  0.0416535  0.00207945
0.36  -0.23  2.3  142.5  0.034902   0.00192714
0.36  -0.23  2.3  157.5  0.0366905  0.0019615
0.36  -0.23  2.3  172.5  0.0322162  0.00183948
0.36  -0.23  2.3  187.5  0.0337767  0.00186834
0.36  -0.23  2.3  202.5  0.0373585  0.0019656
0.36  -0.23  2.3  217.5  0.0385432  0.00203664
0.36  -0.23  2.3  232.5  0.0414275  0.00210643
0.36  -0.23  2.3  247.5  0.0436332  0.00218346
0.36  -0.23  2.3  262.5  0.0523402  0.00238853
0.36  -0.23  2.3  277.5  0.0562564  0.00248772
0.36  -0.23  2.3  292.5  0.0685824  0.00273617
0.36  -0.23  2.3  307.5  0.0796298  0.00291741
0.36  -0.23  2.3  322.5  0.0871512  0.00308439
0.36  -0.23  2.3  337.5  0.0939126  0.00329395
0.36  -0.23  2.3  352.5  0.0933973  0.00338507
0.36  -0.28  2.3  7.5    0.0948226  0.00395071
0.36  -0.28  2.3  22.5   0.0972397  0.0037461
0.36  -0.28  2.3  37.5   0.0710626  0.0029809
0.36  -0.28  2.3  52.5   0.0568382  0.00262553
0.36  -0.28  2.3  67.5   0.0552917  0.00256827
0.36  -0.28  2.3  82.5   0.0507478  0.00238252
0.36  -0.28  2.3  97.5   0.0388871  0.00216962
0.36  -0.28  2.3  112.5  0.0361443  0.00206963
0.36  -0.28  2.3  127.5  0.0306667  0.00185964
0.36  -0.28  2.3  142.5  0.0309008  0.00186301
0.36  -0.28  2.3  157.5  0.0311272  0.00184804
0.36  -0.28  2.3  172.5  0.0319117  0.00185935
0.36  -0.28  2.3  187.5  0.0254224  0.0017139
0.36  -0.28  2.3  202.5  0.0247615  0.00170383
0.36  -0.28  2.3  217.5  0.0294066  0.00186523
0.36  -0.28  2.3  232.5  0.0367843  0.00203573
0.36  -0.28  2.3  247.5  0.0345599  0.00203629
0.36  -0.28  2.3  262.5  0.0421811  0.00222765
0.36  -0.28  2.3  277.5  0.0472413  0.00238125
0.36  -0.28  2.3  292.5  0.0552884  0.00253253
0.36  -0.28  2.3  307.5  0.0676768  0.00281508
0.36  -0.28  2.3  322.5  0.0753419  0.00307858
0.36  -0.28  2.3  337.5  0.0766898  0.00339383
0.36  -0.28  2.3  352.5  0.0862141  0.00392172
0.36  -0.33  2.3  7.5    0.10048    0.00534192
0.36  -0.33  2.3  22.5   0.0797562  0.00405269
0.36  -0.33  2.3  37.5   0.0549135  0.00296837
0.36  -0.33  2.3  52.5   0.0459267  0.00236846
0.36  -0.33  2.3  67.5   0.0440802  0.00227558
0.36  -0.33  2.3  82.5   0.0345271  0.00211946
0.36  -0.33  2.3  97.5   0.0335158  0.00210473
0.36  -0.33  2.3  112.5  0.0299493  0.00194121
0.36  -0.33  2.3  127.5  0.0289594  0.00185696
0.36  -0.33  2.3  142.5  0.0263618  0.00176748
0.36  -0.33  2.3  157.5  0.0255532  0.00173555
0.36  -0.33  2.3  172.5  0.0271773  0.0017814
0.36  -0.33  2.3  187.5  0.0244858  0.00171222
0.36  -0.33  2.3  202.5  0.0287228  0.00183899
0.36  -0.33  2.3  217.5  0.0245021  0.0017369
0.36  -0.33  2.3  232.5  0.02928    0.00186833
0.36  -0.33  2.3  247.5  0.0290047  0.00192791
0.36  -0.33  2.3  262.5  0.0327181  0.00208963
0.36  -0.33  2.3  277.5  0.0409775  0.00226976
0.36  -0.33  2.3  292.5  0.0465043  0.00232541
0.36  -0.33  2.3  307.5  0.0517991  0.00245186
0.36  -0.33  2.3  322.5  0.0727917  0.00317588
0.36  -0.33  2.3  337.5  0.0794138  0.00418632
0.36  -0.33  2.3  352.5  0.0918583  0.00511279
