'SIGMA'                   YOBS
-1.                        W
8.0d0                      Q2
5                          N
45  2.60  0.24  0.24 
70  3.15  0.40  0.33 
90  5.25  0.55  0.55 
110 5.11  0.71  0.76 
130 5.88  1.89  1.26 

*     DVCS_H1_0506_03.DAT  [H1,  arXiv:0709.4114 (hep-ex)] Table 2.
*       X = W,   Y = SIG   (TCUT = - 1 GeV)
*      Q2 = 8 GeV
