'SIGMA'                   YOBS
-1.                        W
25.0d0                     Q2
5                          N
45   0.35  0.13  0.07 
70   0.36  0.10  0.05 
90   0.83  0.18  0.09
110  0.90  0.23  0.18
130  0.90  0.36  0.32

*     DVCS_H1_0506_03.DAT  [H1,  arXiv:0709.4114 (hep-ex)] Table 2.
*       X = W,   Y = SIG   (TCUT = - 1 GeV)
*      Q2 = 25 GeV
