'F2'                   YOBS
0.008d0                X_BJ
-1.                    Q2  
8                      N
 8.5     .564    .032    .049 
12.0     .618    .016    .057
15.0     .634    .014    .031 
20.0     .693    .016    .035     
25.0     .683    .018    .031
35.0     .739    .022    .035     
45.0     .743    .025    .029
60.0     .830    .031    .046    



*     DIS2H1  [H1,  Nucl.Phys.B470(96)3]
*       X = Q2,   Y = F2
*       X_BJ = 0.00800
