'PARSIGMA'               YOBS
40.d0                    W
10.d0                    Q2
4                        N
0.10   4.99  0.66  0.54 
0.30   1.45  0.29  0.18 
0.50   0.49  0.14  0.08 
0.80   0.12  0.03  0.03 


*       [H1,  arXiv:0709.4114 (hep-ex)] Table 3.
*       X = -T,   Y = DSIG/DT   
