'PARSIGMA'               YOBS
70.d0                    W
20.d0                    Q2
4                        N
0.10   2.38  0.29  0.26
0.30   0.67  0.12  0.07
0.50   0.24  0.05  0.03
0.80   0.07  0.01  0.02


*       [H1,  arXiv:0709.4114 (hep-ex)] Table 4.
*       X = -T,   Y = DSIG/DT   
