'SIGMA'                   YOBS
-1.                        W
15.5d0                     Q2
5                          N
45   0.94  0.10  0.10 
70   1.54  0.17  0.14 
90   0.95  0.20  0.17 
110  1.69  0.31  0.33 
130  2.06  0.51  0.56 

*     DVCS_H1_0506_03.DAT  [H1,  arXiv:0709.4114 (hep-ex)] Table 2.
*       X = W,   Y = SIG   (TCUT = - 1 GeV)
*      Q2 = 15.5 GeV
