'F2'                   YOBS
0.00008d0                X_BJ
-1.                    Q2  
2                      N                               
 2.5     .885    .052    .065                    
 3.5    1.036    .053    .092             
    



*     DIS12H1  [H1,  Nucl.Phys.B470(96)3]
*       X = Q2,   Y = F2
*       X_BJ = 0.00008 
