'F2'                   YOBS
0.002d0                X_BJ
-1.                    Q2  
9                      N
 5.0     .540    .033    .043
 8.5     .770    .034    .049
12.0     .866    .016    .057
15.0     .895    .015    .046
20.0     .945    .018    .042
25.0    1.019    .022    .035
35.0    1.116    .027    .052
45.0    1.225    .034    .049
60.0    1.213    .042    .048


*     DIS1  [H1,  Nucl.Phys.B470(96)3]
*       X = Q2,   Y = F2
*       X_BJ = 0.002
