'F2'                   YOBS
0.00013d0                X_BJ
-1.                    Q2  
4                      N              
 2.5     .874    .079    .127 
 3.5    1.026    .045    .067                    
 5.0    1.106    .049    .074               
 6.5    1.292    .085    .127          
    



*     DIS11H1  [H1,  Nucl.Phys.B470(96)3]
*       X = Q2,   Y = F2
*       X_BJ = 0.00013  
