'F2'                   YOBS
0.00032d0                X_BJ
-1.                    Q2  
5                      N              
 3.5     .854    .046    .093                
 5.0     .907    .039    .066  
 6.5     .963    .045    .068              
 8.5    1.089    .038    .048          
12.0    1.276    .020    .055            
15.0    1.426    .030    .064        



*     DIS9H1  [H1,  Nucl.Phys.B470(96)3]
*       X = Q2,   Y = F2
*       X_BJ = 0.00032 
