id = 213
editor = KK

### Experiment

collaboration = H1ZEUS
process = dis
exptype = collider
year = 2015
reference = arXiv:1506.06042
reference2 = Table10
#  Data is downloaded from
#  https://www.hepdata.net/record/ins416819
#  as CSV and processed with Python Pandas.
#  Some checking should still be done, this was done
#  fast because of referee requirement, only for
#  plotting, not for numerics.

### Scattering Process

in1particle = e+
in1energy = 27.5
in1energyunit = GeV

in2particle = p
in2energy = 920
in2energyunit = GeV

### Observable 

y1name = DISF2
y1namelong = "positron reduced DIS cross-section ~ F2 for low y"
y1unit = 1
y1value = column3
y1error = column4


### x-axes
x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2


### Data
#  Error is absolute, obtained
#  by adding all stat and syst errors in quadrature
#  (agrees with last column of table 10).
# Q2       xB        F2     err
######################################
6.5   0.0008000   0.849   0.0133
6.5   0.0013000   0.758   0.0123
6.5   0.0020000   0.695   0.0102
6.5   0.0032000   0.641   0.0110
6.5   0.0050000   0.579   0.0097
6.5   0.0130000   0.483   0.0140
6.5   0.0200000   0.498   0.0144
8.5   0.0000986   1.161   0.0467
8.5   0.0001050   1.183   0.0720
8.5   0.0001120   1.18   0.0476
8.5   0.0001240   1.259   0.0380
8.5   0.0001290   1.232   0.0347
8.5   0.0001390   1.257   0.0769
8.5   0.0002000   1.195   0.0222
8.5   0.0003200   1.107   0.0154
8.5   0.0005000   1.014   0.0156
8.5   0.0008000   0.931   0.0139
8.5   0.0013000   0.839   0.0130
8.5   0.0020000   0.769   0.0146
8.5   0.0032000   0.661   0.0131
8.5   0.0050000   0.632   0.0117
8.5   0.0200000   0.456   0.0135
10.0   0.0003200   1.138   0.0284
10.0   0.0005000   1.058   0.0248
10.0   0.0008000   0.977   0.0238
10.0   0.0013000   0.888   0.0237
10.0   0.0020000   0.802   0.0234
10.0   0.0050000   0.628   0.0111
10.0   0.0200000   0.513   0.0116
12.0   0.0001390   1.281   0.0469
12.0   0.0001610   1.34   0.0325
12.0   0.0001820   1.295   0.0357
12.0   0.0002000   1.294   0.0282
12.0   0.0003200   1.223   0.0172
12.0   0.0005000   1.145   0.0142
12.0   0.0008000   1.045   0.0131
12.0   0.0013000   0.935   0.0149
12.0   0.0020000   0.851   0.0139
12.0   0.0032000   0.754   0.0153
12.0   0.0050000   0.679   0.0124
12.0   0.0200000   0.49   0.0138
15.0   0.0001740   1.34   0.0560
15.0   0.0002000   1.386   0.0419
15.0   0.0002280   1.33   0.0420
15.0   0.0003200   1.313   0.0244
15.0   0.0005000   1.207   0.0150
15.0   0.0008000   1.105   0.0132
15.0   0.0013000   0.979   0.0122
15.0   0.0020000   0.868   0.0116
15.0   0.0032000   0.783   0.0105
15.0   0.0050000   0.713   0.0090
15.0   0.0080000   0.632   0.0080
15.0   0.0200000   0.529   0.0095
18.0   0.0002090   1.37   0.0580
18.0   0.0002370   1.379   0.0358
18.0   0.0002680   1.372   0.0278
18.0   0.0003280   1.383   0.0291
18.0   0.0005000   1.281   0.0184
18.0   0.0008000   1.155   0.0136
18.0   0.0013000   1.038   0.0124
18.0   0.0020000   0.94   0.0115
18.0   0.0032000   0.829   0.0103
18.0   0.0050000   0.744   0.0090
18.0   0.0080000   0.664   0.0084
18.0   0.0200000   0.536   0.0135
22.0   0.0002900   1.434   0.0442
22.0   0.0003200   1.431   0.0481
22.0   0.0003450   1.41   0.0321
22.0   0.0003880   1.393   0.0275
22.0   0.0005000   1.382   0.0268
22.0   0.0005920   1.327   0.0255
22.0   0.0008000   1.229   0.0201
22.0   0.0013000   1.057   0.0304
22.0   0.0020000   0.99   0.0212
22.0   0.0032000   0.9   0.0266
22.0   0.0050000   0.769   0.0210
22.0   0.0080000   0.656   0.0188
22.0   0.0130000   0.586   0.0172
22.0   0.0320000   0.519   0.0158
27.0   0.0003140   1.48   0.0702
27.0   0.0003550   1.441   0.0434
27.0   0.0004100   1.462   0.0377
27.0   0.0005000   1.411   0.0222
27.0   0.0008000   1.289   0.0157
27.0   0.0013000   1.154   0.0141
27.0   0.0020000   1.044   0.0127
27.0   0.0032000   0.913   0.0114
27.0   0.0050000   0.8   0.0100
27.0   0.0080000   0.707   0.0088
27.0   0.0130000   0.635   0.0084
27.0   0.0200000   0.576   0.0102
27.0   0.0320000   0.527   0.0134
35.0   0.0004600   1.427   0.0364
35.0   0.0005000   1.472   0.0387
35.0   0.0005310   1.44   0.0265
35.0   0.0006160   1.458   0.0293
35.0   0.0006570   1.433   0.0265
35.0   0.0008000   1.386   0.0180
35.0   0.0010000   1.312   0.0218
35.0   0.0013000   1.222   0.0140
35.0   0.0020000   1.099   0.0129
35.0   0.0032000   0.963   0.0114
35.0   0.0050000   0.851   0.0102
35.0   0.0080000   0.746   0.0093
35.0   0.0130000   0.661   0.0084
35.0   0.0200000   0.591   0.0087
35.0   0.0320000   0.517   0.0100
35.0   0.0800000   0.448   0.0232
45.0   0.0005900   1.468   0.0533
45.0   0.0006340   1.451   0.0321
45.0   0.0007000   1.485   0.0412
45.0   0.0008000   1.46   0.0215
